t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18546789476943176,,,,0.0,36573.29855947101,37728.458643251746,0.0,5,0
1,1999-11-17 12:00:00,0,0.18013110407835223,0.027631467338490312,0.070304347084754,0.027631467338490312,0.07030434708476094,17452.008104846052,18020.527265553024,0.0,4,4
2,1999-11-18 00:00:00,0,0.19778269472394627,0.015368004377204203,0.49565082574675234,0.02976207686060106,0.4253464786619935,41487.545052414,42854.48291197174,0.0,6,2
3,1999-11-18 12:00:00,0,0.2469681960043728,0.015633704391034887,0.47241617565111726,0.040396896186172274,0.8977626543131061,46261.533344128504,47775.69777131372,0.0,7,2
4,1999-11-19 00:00:00,0,0.21800532554732738,0.020584191872867395,0.4511063890643569,0.04751545599698224,0.446656265248748,17613.21267924093,18164.149759046966,0.0,5,3
5,1999-11-19 12:00:00,0,0.2097133382199706,0.08195167363715648,0.8228250038684757,0.11096026281038411,0.3761687386197344,5645.8861056204205,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.09824259723153225,0.03546139531394914,1.0042026041970376,0.13815386117567444,1.3803713428167708,2276.7434344473118,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,0.16252885591858088,0.009329836833724828,0.8656164409108915,0.14748369800939926,0.5147549019058835,5632.1938885706495,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.20286739183678304,0.013655529330594263,0.17246926035094085,0.15588462410930967,0.6872241622568198,10747.785564613856,11088.9442252836,0.0,4,2
9,1999-11-21 12:00:00,0,0.1813225060427396,0.03241373683350058,0.3398442521142244,0.09567559703687722,0.347379910142568,22235.32218780476,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.1464366541923528,0.06509934940125266,0.9610902600544431,0.0945783046410988,0.6137103499119071,12752.189620793708,13170.127228093646,0.0,4,2
11,1999-11-22 12:00:00,0,0.14802428984567745,0.044239499117648594,0.028675799976700878,0.05347624000980859,0.5850345499352458,36833.23427068369,38018.88460752566,0.0,5,2
12,1999-11-23 00:00:00,0,0.1695859019346208,0.03166257592329119,0.49011799343850687,0.053053071927214625,0.09491655649673754,37487.02559924664,38656.573597538205,0.0,5,5
13,1999-11-23 12:00:00,0,0.15154666568488498,0.03316968553895874,1.0855402071007523,0.08557289228207013,0.9906236506040116,20382.86554309986,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.20224717473453274,0.06496171438709407,1.7488344245111878,0.11698101566584933,0.7582107739070174,35980.89642290043,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,0.15210356663797134,0.06905587434025105,1.8973300468551202,0.11058339526191925,1.1391192729479258,9942.186523140994,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.25763023416592085,0.05959796280169211,1.4034539814027311,0.10318785099922308,0.2643347084547977,44912.791480112704,46299.42057099687,0.0,5,3
17,1999-11-25 12:00:00,1,0.24579305387046976,0.03717854967425708,0.07172418079848487,0.09909126027379092,0.19261052765634318,61475.38479236955,63265.79155736668,0.0,6,5
18,1999-11-26 00:00:00,1,0.22968247583966464,0.032813416428500775,0.030554668322009332,0.10868175334026908,0.16205585933437286,59286.11064014186,61054.28314682403,0.0,6,6
19,1999-11-26 12:00:00,1,0.13824672010296588,0.03391286525528669,0.054710432201303935,0.14320433218208764,0.21676629153568405,55634.32414835473,57378.81975057557,0.0,6,5
20,1999-11-27 00:00:00,1,0.20068436590298785,0.03947782751477421,0.38154644207264937,0.16595335693132476,0.16478015053696815,38850.46981287806,40052.76372256911,0.0,5,4
21,1999-11-27 12:00:00,1,0.244922760434926,0.034351370636204956,0.07553790566713861,0.13967514085292546,0.24031805620411414,35122.47058961475,36082.66668761158,0.0,5,4
22,1999-11-28 00:00:00,1,0.23594215559368895,0.036501955151641605,0.3954534726939246,0.14332084237658543,0.15513541648979673,59082.569278386596,60617.648132087284,0.0,6,5
23,1999-11-28 12:00:00,1,0.18783159718180978,0.012220356572961801,1.8512968935624485e-14,0.1401587444201437,0.15513541648979962,61971.34523150108,63825.22309827395,0.0,6,5
24,1999-11-29 00:00:00,1,0.23808438858372086,0.03115254761086169,0.2772833652307437,0.14381794950779225,0.1221479487410763,39186.83091444341,40344.21211858167,0.0,5,4
