t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.2978021387623214,,,,0.0,2098.0854273764153,37728.458643251746,0.0,5,0
1,1999-11-17 12:00:00,0,0.33325231821086243,0.02763146733849032,0.07030434708475393,0.027631467338490326,0.07030434708476094,299.53072628663426,18020.527265553024,0.0,4,4
2,1999-11-18 00:00:00,0,0.39163686503927203,0.033664865414487675,0.4956508257467522,0.044979373219257705,0.4253464786619935,652.5979813389949,42854.48291197174,0.0,6,2
3,1999-11-18 12:00:00,0,0.3110002733144982,0.0382523654942904,0.4724161756511172,0.08323173871354808,0.8977626543131061,913.3282617321729,47775.69777131372,0.0,7,2
4,1999-11-19 00:00:00,0,0.2704072329006099,0.03895398942977873,0.4511063890643569,0.08139055571834082,0.446656265248748,1067.6078613794791,18164.149759046966,0.0,5,3
5,1999-11-19 12:00:00,0,0.3191277744306125,0.08195167363715654,0.8228250038684756,0.06827054188578806,0.3761687386197345,119.68064757824565,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.2505551049148432,0.014142380613622288,1.0042026041970376,0.10422574349240585,1.3803713428167708,1.6910255543413768,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,0.1949463226593717,0.04141622499875881,0.8656164409108916,0.09151541124684522,0.5147549019058835,73.85662180722218,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.22957768043894952,0.02929562507740059,0.1724692603509409,0.0778598819200913,0.6872241622568198,409.25112579534766,11088.9442252836,0.0,4,2
9,1999-11-21 12:00:00,0,0.2570081835849151,0.1322635189598015,0.3398442521142244,0.13805320146108155,0.347379910142568,2617.8930117917553,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.4607990545067925,0.11066329051451876,0.9610902600544432,0.04064023251523512,0.6137103499119072,109.74675833131423,13170.127228093646,0.0,4,2
11,1999-11-22 12:00:00,0,0.3431924761030779,0.021591834755837938,0.028675799976700937,0.03383497464199543,0.5850345499352456,1665.9549617766659,38018.88460752566,0.0,5,2
12,1999-11-23 00:00:00,0,0.35329210513852427,0.025975250225910317,0.49011799343850687,0.022977117618916038,0.09491655649673754,2613.6232732718495,38656.573597538205,0.0,5,5
13,1999-11-23 12:00:00,0,0.17994384535769165,0.046396504930646176,1.0855402071007523,0.061382446818514666,0.9906236506040116,1023.0506798246723,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.34457757679944273,0.09987576740941402,1.7488344245111878,0.048909632109962055,0.7582107739070176,3143.778072517859,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,0.23465831796683956,0.27637833561832925,1.8973300468551202,0.26774268542410096,1.139119272947926,1220.1014398334642,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.2707895366933285,0.03191522737907048,1.4034539814027311,0.2996579128031714,0.2643347084547979,3011.5798165304022,46299.42057099687,0.0,5,3
17,1999-11-25 12:00:00,1,0.30811303926507866,0.2025725041385184,0.07172418079848485,0.3823672518204212,0.19261052765634318,7069.613845856508,63265.79155736668,0.0,6,5
18,1999-11-26 00:00:00,1,0.31817612167380444,0.03423319716445359,0.030554668322009332,0.3499206005925634,0.16205585933437286,6491.626594576806,61054.28314682403,0.0,6,6
19,1999-11-26 12:00:00,1,0.36198379107034145,0.07334284082016204,0.05471043220130386,0.38455356678753383,0.21676629153568383,2970.5912905459963,57378.81975057557,0.0,6,5
20,1999-11-27 00:00:00,1,0.388515434732617,0.06481880616809982,0.3815464420726493,0.30758821364399547,0.16478015053696826,2651.919302912597,40052.76372256911,0.0,5,4
21,1999-11-27 12:00:00,1,0.34432582302224946,0.0666204213481225,0.07553790566713861,0.1676950144436369,0.24031805620411414,7182.8546484810795,36082.66668761158,0.0,5,4
