t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18538665830323875,,,,0.0,36284.68479338684,37728.458643251746,0.0,5,0
1,1999-11-17 12:00:00,0,0.17501498992717612,0.029786096549108635,1.1102230246251565e-16,0.029786096549108635,2.0816681711721685e-16,17559.78828571952,18020.527265553024,0.0,4,4
2,1999-11-18 00:00:00,0,0.19211712063618594,0.015294611591928294,0.0,0.03768115572009395,0.0,41577.352680152166,42854.48291197174,0.0,6,2
3,1999-11-18 12:00:00,0,0.24520104660174818,0.007067126620936915,1.1102230246251565e-16,0.03982923981896156,4.440892098500626e-16,46404.88281668493,47775.69777131372,0.0,7,2
4,1999-11-19 00:00:00,0,0.21738458828000212,0.021825206885360326,1.295260195396016e-16,0.048378033431334705,1.6653345369377348e-16,17468.14720931642,18164.149759046966,0.0,5,3
5,1999-11-19 12:00:00,0,0.20860328201239228,0.08228112764489633,2.220446049250313e-16,0.1113401177517801,0.0,5540.923922883732,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.09779902334779299,0.03569042782659461,8.326672684688674e-17,0.13724110718739063,2.220446049250313e-16,2198.4528266835755,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,0.16378639315038507,0.01081214629224482,1.1102230246251565e-16,0.1469138736097708,3.3306690738754696e-16,5539.900730619546,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.20439000009070313,0.012601276505890713,8.326672684688674e-17,0.15661323106933447,1.1102230246251565e-16,10706.5675628274,11088.9442252836,0.0,4,2
9,1999-11-21 12:00:00,0,0.18715142224077835,0.031429843208098295,2.7755575615628914e-17,0.0955644912579667,0.0,22142.125585326827,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.14504572938485047,0.06349888172874563,3.0531133177191805e-16,0.10131877423094872,2.220446049250313e-16,12919.385313968347,13170.127228093646,0.0,4,2
11,1999-11-22 12:00:00,0,0.14651151967228854,0.04553098879817687,1.1275702593849246e-16,0.05671918498575623,0.0,36631.410372311715,38018.88460752566,0.0,5,2
12,1999-11-23 00:00:00,0,0.17438192574441663,0.04064989138561308,7.771561172376095e-17,0.06333756537991557,3.608224830031759e-16,37238.37525876757,38656.573597538205,0.0,5,5
13,1999-11-23 12:00:00,0,0.16294712130128658,0.033320483010416305,8.326672684688674e-17,0.09368501623606848,1.1102230246251565e-16,20061.5965396262,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.20888913882737273,0.06440867638717891,0.0,0.12793825443255788,2.220446049250313e-16,35616.01112856114,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,0.16076653432245833,0.06494342477099989,2.220446049250313e-16,0.11449091947309738,4.440892098500626e-16,9775.91533766592,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.2682347954705535,0.06146995920354086,7.401486830834377e-17,0.11085762350524475,2.7755575615628914e-16,44647.90755799215,46299.42057099687,0.0,5,3
17,1999-11-25 12:00:00,1,0.2533501786652437,0.03421017058508806,7.771561172376095e-17,0.09954950701261352,1.1102230246251565e-16,61507.82359926433,63265.79155736668,0.0,6,5
18,1999-11-26 00:00:00,1,0.23672077702429792,0.03410275913134373,1.0177044392397268e-16,0.10938330487533972,1.3877787807814457e-16,59393.489998026555,61054.28314682403,0.0,6,6
19,1999-11-26 12:00:00,1,0.1400988939016799,0.03398316756512056,7.771561172376095e-17,0.14029326446705587,0.0,55823.18371529412,57378.81975057557,0.0,6,5
20,1999-11-27 00:00:00,1,0.20500346720464538,0.03970299762652582,9.71445146547012e-17,0.16531648534675034,0.0,39059.44434967056,40052.76372256911,0.0,5,4
21,1999-11-27 12:00:00,1,0.25103786620171753,0.034767832914730956,4.163336342344337e-17,0.1401782510778419,1.942890293094024e-16,35061.59634344324,36082.66668761158,0.0,5,4
22,1999-11-28 00:00:00,1,0.236749376033031,0.03558101174744133,1.1657341758564144e-16,0.14196069997243402,2.7755575615628914e-16,58417.02773706173,60617.648132087284,0.0,6,5
23,1999-11-28 12:00:00,1,0.19249695910406017,0.012625303951913639,4.4408920985006264e-17,0.13905284112953858,2.7755575615628914e-16,61850.98044956175,63825.22309827395,0.0,6,5
24,1999-11-29 00:00:00,1,0.23927703844988568,0.037860174841382654,4.163336342344337e-17,0.15137343878260687,0.0,38726.44086223906,40344.21211858167,0.0,5,4
25,1999-11-29 12:00:00,1,0.18584204183974007,0.03243422190516319,2.949029909160572e-17,0.13998845414640532,1.942890293094024e-16,38201.691398657706,39465.58803603207,0.0,5,4
26,1999-11-30 00:00:00,1,0.1896332104640374,0.02240757307070663,1.8318679906315082e-16,0.1273838669775959,1.1275702593849246e-16,39998.067537087474,41504.68517790583,0.0,5,5
27,1999-11-30 12:00:00,1,0.1947177114548094,0.0280061400304987,9.71445146547012e-17,0.1538464947812203,2.7755575615628914e-16,39608.191420996336,41184.15416244837,0.0,5,4
28,1999-12-01 00:00:00,2,0.2559771206407883,0.03904933268767556,4.163336342344337e-17,0.1439578956496793,1.3877787807814457e-16,75119.72116108258,77477.72847657466,0.0,6,4
29,1999-12-01 12:00:00,2,0.21147988407811638,0.025515053318178597,9.540979117872439e-17,0.12964597929762828,2.220446049250313e-16,15400.78004330167,16015.480847754048,0.0,4,4
30,1999-12-02 00:00:00,2,0.2093150091660989,0.01667184168532572,5.377642775528102e-17,0.14631782098295398,2.220446049250313e-16,20291.688599469882,20978.505507222195,0.0,5,4
31,1999-12-02 12:00:00,2,0.2657052976667339,0.01495661456704657,5.377642775528102e-17,0.1364787397196926,0.0,24391.085894628253,25190.02848145358,0.0,5,4
32,1999-12-03 00:00:00,2,0.24348353856183924,0.053383617725600005,1.8735013540549517e-16,0.18986235744529262,0.0,53299.84889462681,54875.049046410735,0.0,6,4
33,1999-12-03 12:00:00,2,0.22492647890598025,0.02244103941618136,0.0,0.21927382228034284,0.0,25104.84073784866,25967.91298403781,0.0,4,3
34,1999-12-04 00:00:00,2,0.24318305366979356,0.04859388968631767,1.0408340855860843e-16,0.2130492563965748,0.0,22795.609682888557,23877.313619110962,0.0,4,4
35,1999-12-04 12:00:00,2,0.25306989452828704,0.040240715411321584,1.942890293094024e-16,0.24383840572275983,4.85722573273506e-16,65413.62568948841,68099.4532148222,0.0,6,4
36,1999-12-05 00:00:00,2,0.256233431207165,0.024993757755381124,3.932039878880763e-17,0.1867798218425675,2.7755575615628914e-16,68851.87682872542,70951.48290010258,0.0,6,6
37,1999-12-05 12:00:00,2,0.2882316641763484,0.032938366441091174,0.0,0.24487508756529816,1.6653345369377348e-16,102911.44878361438,106158.8830480295,0.0,8,5
38,1999-12-06 00:00:00,2,0.23961739926800538,0.05018148491204864,1.6653345369377348e-16,0.2057970031366913,2.185751579730777e-16,51539.8012385177,53390.352954670576,0.0,6,4
