t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.21721813061888923,,,,0.0,7290.97835898319,37728.458643251746,0.0,5,0
1,1999-11-17 12:00:00,0,0.08400815731833798,0.1835433510348346,5.551115123125783e-17,0.1835433510348346,2.0816681711721685e-16,7687.15077934844,18020.527265553024,0.0,4,4
2,1999-11-18 00:00:00,0,0.15316158280948042,0.022355660453177058,0.0,0.27109925664766155,1.6653345369377348e-16,17210.677595027017,42854.48291197174,0.0,6,2
3,1999-11-18 12:00:00,0,0.22068074812001873,0.2826376209434426,1.1102230246251565e-16,0.04882830409721155,3.3306690738754696e-16,16922.794315564126,47775.69777131372,0.0,7,2
4,1999-11-19 00:00:00,0,0.2334417660886124,0.06916785829792371,7.401486830834377e-17,0.07810168673297252,0.0,3802.246012019973,18164.149759046966,0.0,5,3
5,1999-11-19 12:00:00,0,0.3161584064411908,0.09236834030382318,1.4802973661668753e-16,0.10125290509285323,1.6653345369377348e-16,543.1069104389005,5838.090020262141,0.0,3,3
6,1999-11-20 00:00:00,0,0.26457159741840974,0.031857287016202475,0.0,0.14147773650413997,2.220446049250313e-16,4.258295625598238,2350.9344937571113,0.0,2,2
7,1999-11-20 12:00:00,0,0.2372855496899938,0.030381338850562906,0.0,0.16649046909698095,1.1102230246251565e-16,620.7234753826909,5812.309761187949,0.0,3,2
8,1999-11-21 00:00:00,0,0.21601670741039514,0.030277271283774443,5.551115123125783e-17,0.18616827309965617,2.220446049250313e-16,2400.502268345435,11088.9442252836,0.0,4,2
9,1999-11-21 12:00:00,0,0.29588561537854696,0.15998489531901253,1.3877787807814457e-16,0.2530690318688406,1.6653345369377348e-16,7185.057005042577,22877.27035903909,0.0,5,4
10,1999-11-22 00:00:00,0,0.21232743781989263,0.03767561732189287,8.326672684688674e-17,0.23890835489871115,2.220446049250313e-16,6430.571003109483,13170.127228093646,0.0,4,2
11,1999-11-22 12:00:00,0,0.2402052060946199,0.05158331639353294,1.1275702593849246e-16,0.11159362185031829,0.0,7550.046364793055,38018.88460752566,0.0,5,2
12,1999-11-23 00:00:00,0,0.41468354059043594,0.34220860737653946,7.771561172376095e-17,0.3848372072452325,3.608224830031759e-16,9351.175421795873,38656.573597538205,0.0,5,5
13,1999-11-23 12:00:00,0,0.4465866081938409,0.03117500723515431,1.1102230246251565e-16,0.5006031748971781,1.1102230246251565e-16,3395.92078098719,21026.95917459552,0.0,4,4
14,1999-11-24 00:00:00,1,0.3908241389359943,0.06050828749239386,0.0,0.42279628263055663,1.1102230246251565e-16,7124.329681172965,37069.00137035612,0.0,5,3
15,1999-11-24 12:00:00,1,0.3836235389305933,0.054630041606073355,7.401486830834377e-17,0.3140832339510636,4.440892098500626e-16,1638.4674742313289,10224.258695096072,0.0,3,3
16,1999-11-25 00:00:00,1,0.47333607302198166,0.07613004160118124,0.0,0.31004644947685384,1.6653345369377348e-16,10314.309510566844,46299.42057099687,0.0,5,3
17,1999-11-25 12:00:00,1,0.3793260403459678,0.10643461322300436,0.0,0.1524871990466617,0.0,21707.27503917182,63265.79155736668,0.0,6,5
