method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
TMTM,0,0,0.08474333367049673,,,,False,True,,19.039176783791405,8.869976743331797,0.05,2.9975193140878416
TMTM,0,1,0.2133248991073486,,,,False,True,,63.76896463621363,38.1699767433318,2.4000000000000004,143.88092707621638
TMTM,0,2,0.180881276449918,,,,False,False,,68.67572991732196,46.9699767433318,0.6000000000000001,35.970231769054095
TMTM,0,3,0.5430453265472232,,,,False,True,,20.404537557665027,85.56997674333181,0.75,44.962789711317626
TMTM,0,4,0.06409581731945971,,,,False,True,,65.81147482166696,58.1199767433318,21.6,1294.9283436859475
TMTM,1,1,0.23591393094825552,0.022589031840906947,0.0,0.022589031840906947,True,True,0.5625,67.07964845712246,38.769976743331796,1.35,80.93302148037172
TMTM,1,2,0.00530750905722949,0.1755737673926885,1.1102230246251565e-16,0.1755737673926885,True,False,0.375,70.50687783019934,69.8699767433318,1.6,95.92061805081093
TMTM,1,4,0.07593614247292316,0.011840325153463442,1.1102230246251565e-16,0.011840325153463442,True,True,0.7690631808278867,68.63231384008257,59.519976743331796,19.0,1139.0573393533798
TMTM,1,3,0.018875046794943718,0.5241702797522795,0.0,0.5241702797522795,True,True,0.14150943396226415,25.704971127938553,27.9699767433318,5.300000000000001,317.7370472933112
TMTM,2,5,0.06644224976614695,,,,False,False,,71.94690677139417,79.9199767433318,0.1,5.995038628175683
TMTM,2,6,0.05055307503829667,,,,False,False,,73.6536077387362,79.7199767433318,0.05,2.9975193140878416
TMTM,2,7,0.2264475680993663,,,,False,False,,77.49368491525576,50.3199767433318,0.4,23.980154512702732
TMTM,2,4,0.10138575712089028,0.025449614647967127,0.0,0.03728993980143057,True,True,0.7376623376623377,69.98626759783863,57.8199767433318,14.450000000000001,866.2830817713863
TMTM,2,8,0.43600409377885146,,,,False,False,,34.399485489869626,86.7199767433318,0.05,2.9975193140878416
TMTM,2,3,0.03813675305333071,0.01926170625838699,0.0,0.5049085734938925,True,True,0.29245283018867924,23.44356637693211,28.019976743331796,1.55,92.92309873672309
TMTM,3,9,0.015858058915929618,,,,False,True,,77.06700967342024,78.9699767433318,0.05,2.9975193140878416
TMTM,3,10,0.26894863999547114,,,,False,False,,83.89381354278834,51.6199767433318,0.05,2.9975193140878416
TMTM,3,11,0.2538927986009544,,,,False,False,,82.18711257544632,51.7199767433318,0.05,2.9975193140878416
TMTM,3,12,0.2384202905397709,,,,False,False,,80.4804116081043,51.8699767433318,0.05,2.9975193140878416
TMTM,3,4,0.1263248640692445,0.02493910694835423,0.0,0.0622290467497848,True,False,0.296551724137931,69.27896043164114,54.1199767433318,4.3500000000000005,260.78418032564224
TMTM,3,3,0.5784728879918615,0.5403361349385309,2.220446049250313e-16,0.0354275614446383,True,True,0.24545454545454545,26.703230184308417,96.1199767433318,5.300000000000001,317.7370472933112
TMTM,3,13,0.06284769672689888,,,,False,True,,78.26170035055966,70.7199767433318,0.5,29.975193140878417
TMTM,4,14,0.09811638590088988,,,,False,False,,66.64394305143858,54.8699767433318,1.4000000000000001,83.93054079445956
TMTM,4,15,0.34380132593765084,,,,False,True,,92.1261358558499,50.8699767433318,4.25,254.78914169746653
TMTM,4,4,0.137123043004468,0.010798178935223508,0.0,0.07302722568500832,True,False,0.10112359550561797,69.77474190386796,53.3199767433318,0.55,32.972712454966256
TMTM,4,3,0.5163916321801331,0.062081255811728506,0.0,0.026653694367090117,True,True,0.7142857142857143,31.10298088171584,93.06997674333181,7.300000000000001,437.6378198568249
TMTM,4,13,0.07177644341992023,0.13462414014681912,2.220446049250313e-16,0.13462414014681912,True,True,0.18181818181818182,75.85680353294137,84.4699767433318,2.75,164.86356227483128
TMTM,5,14,0.2199357094923768,0.12181932359148692,4.440892098500626e-16,0.12181932359148692,True,False,0.09688581314878893,72.11226188241702,45.7199767433318,14.450000000000001,866.2830817713863
TMTM,5,15,0.355617450454348,0.011816124516697179,0.0,0.011816124516697179,True,True,0.2828282828282828,96.69407079785356,54.019976743331796,2.1,125.89581119168935
TMTM,5,3,0.3729220593768476,0.14346957280328546,0.0,0.1701232671703756,True,True,0.3569682151589242,50.569329618110096,95.31997674333181,20.450000000000003,1225.9853994619273
