t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.012768578295355179,,,,0.0,18633.956740836238,89418.89731895742,0.9069376799982081,7,0
1,1999-11-18 00:00:00,0,0.019574849906780423,0.011527631159136811,3.700743415417188e-17,0.011527631159136811,0.0,13170.174540333986,41820.20963222798,2.28235268331467,6,3
2,1999-11-19 00:00:00,0,0.034975444973577366,0.032956798505176216,0.0,0.04423207336238848,1.6653345369377348e-16,3278.6552473468064,18060.86303241969,4.9684608371231604,5,2
3,1999-11-20 00:00:00,0,0.008333333333333333,0.014023994246720066,0.0,0.013984161992046825,2.220446049250313e-16,1217.5234121011545,7236.372735096444,0.0,3,2
4,1999-11-21 00:00:00,0,0.041592496067711114,0.03351747490565717,5.898059818321144e-17,0.03544612328081865,1.6653345369377348e-16,8420.341640089095,23017.827417255525,6.59753234333148,5,2
5,1999-11-22 00:00:00,0,0.01910642558780508,0.03948850717384561,7.401486830834377e-17,0.03450330764269561,1.6653345369377348e-16,2463.5794526663117,13164.13056572713,1.5678749173995783,4,3
6,1999-11-23 00:00:00,0,0.06744198148107855,0.053205288307099426,0.0,0.039221126315052604,2.3592239273284576e-16,13423.834653638003,38511.07653039812,8.500001842251187,5,2
7,1999-11-24 00:00:00,1,0.008333333333333333,0.05744187862115531,5.551115123125783e-17,0.05559739353889449,4.440892098500626e-16,16859.091913231256,64529.68042455971,0.0,6,4
8,1999-11-25 00:00:00,1,0.01076618070850772,0.00921834285349496,0.0,0.051229150461579165,2.7755575615628914e-16,9165.831353853187,62714.242197327185,0.5360135568908824,6,3
9,1999-11-26 00:00:00,1,0.01250928598092571,0.0006568916015897308,8.881784197001253e-17,0.031278051081271255,1.3877787807814457e-16,13548.747310709803,60504.9930210369,0.5011143177110853,6,5
10,1999-11-27 00:00:00,1,0.05351701500763842,0.04885715813629296,6.106226635438361e-17,0.07448333293987348,1.6653345369377348e-16,17311.63075350579,53309.77941876059,9.46725609819698,6,5
11,1999-11-28 00:00:00,1,0.03778966139215085,0.04740656681246474,3.469446951953614e-17,0.057949518750038974,4.440892098500626e-16,30976.594580111498,144014.82342759083,8.538613688250678,9,4
12,1999-11-29 00:00:00,1,0.05843518898742598,0.018042937775435756,0.0,0.036866007240124184,3.3306690738754696e-16,12780.633924853066,55068.087000094594,8.021881445854007,6,5
13,1999-11-30 00:00:00,1,0.15651329570474526,0.05062761839476877,5.551115123125783e-17,0.08933070016426371,0.0,31560.396846210977,70499.7087030717,29.262212781461805,6,4
14,1999-12-01 00:00:00,2,0.1507655940925278,0.01303777445400971,0.0,0.06132677373674376,2.498001805406602e-16,24907.71098706266,75397.76614415529,30.540229892295912,6,5
15,1999-12-02 00:00:00,2,0.0077276119958219845,0.14070757340370663,0.0,0.07818120038230042,2.220446049250313e-16,4479.039519095237,15959.697559909153,0.0,4,4
16,1999-12-03 00:00:00,2,0.03942834048058336,0.033870105824213945,0.0,0.09029829712446241,0.0,14973.238051895261,54149.43205406061,4.148695065910715,6,4
17,1999-12-04 00:00:00,2,0.008333333333333333,0.032828359688073704,0.0,0.10356030241282992,1.6653345369377348e-16,8525.486972606393,40769.41202286601,0.0,5,3
18,1999-12-05 00:00:00,2,0.09399998426063438,0.09638817390560103,2.7755575615628914e-17,0.14681417701417904,2.7755575615628914e-16,29748.771694889343,69744.10460180268,17.511403502552895,6,4
19,1999-12-06 00:00:00,2,0.0235082728811065,0.060237138104391144,0.0,0.083045306949893,2.0816681711721685e-16,13489.636275813627,52507.516136220314,2.7465796315697304,6,4
20,1999-12-07 00:00:00,2,0.04965319767427049,0.03151043607727648,5.551115123125783e-17,0.10758257912616283,0.0,15172.386645940467,56761.74144461552,9.016043662702003,6,4
21,1999-12-08 00:00:00,3,0.03992178630820809,0.028721978878493874,5.551115123125783e-17,0.10455639070761796,1.6653345369377348e-16,7326.613651102165,22201.630546999204,5.206263587057357,4,4
22,1999-12-09 00:00:00,3,0.01399509968924441,0.02218185671356336,1.1102230246251565e-16,0.023282617755832402,3.400058012914542e-16,7498.720056673004,32891.81423663669,0.7469224268375996,4,3
23,1999-12-10 00:00:00,3,0.007149626298341545,0.010055649305856576,1.8041124150158794e-16,0.017570907465394952,1.6653345369377348e-16,11610.255482809107,48559.66368889024,0.0,5,4
24,1999-12-11 00:00:00,3,0.040316984473326864,0.04507032153833814,1.4802973661668753e-16,0.04301794528884687,3.3306690738754696e-16,5358.084909450481,44311.17310628742,6.6556647711975785,6,3
25,1999-12-12 00:00:00,3,0.05779714190026635,0.04775046652778502,1.1102230246251565e-16,0.02823628092428883,0.0,13724.328446958394,48536.06842069705,11.065306628464448,6,4
26,1999-12-13 00:00:00,3,0.007596950159743975,0.0434802973702001,8.326672684688674e-17,0.03265262651647878,0.0,1148.4430433630628,20104.769992947284,0.0,4,4
27,1999-12-14 00:00:00,3,0.008140533600284014,0.0014727663471787147,0.0,0.0588519290034056,0.0,126.49602709905639,8190.671307285005,0.0,3,2
28,1999-12-15 00:00:00,4,0.007802467731375894,0.0002891995995739786,8.326672684688674e-17,0.013035684317711058,2.220446049250313e-16,20280.204414633463,114997.21157231284,0.0,8,2
29,1999-12-16 00:00:00,4,0.043865300202564794,0.04655634386881698,1.8735013540549517e-16,0.04670094366860396,1.249000902703301e-16,5687.680997324726,40925.50937610161,4.714169008727822,5,4
30,1999-12-17 00:00:00,4,0.06941296447111725,0.08770179384501087,2.7755575615628914e-17,0.07060900628074279,0.0,21368.393607346934,77273.60753531803,15.751697770277787,7,4
31,1999-12-18 00:00:00,4,0.06423106738073892,0.017239193743110767,4.4408920985006264e-17,0.038444610975726226,0.0,24875.957635372204,87415.09475097078,14.389562738407022,7,5
32,1999-12-19 00:00:00,4,0.037425858330679185,0.019950070316787992,2.4980018054066023e-17,0.03989206237161037,0.0,17153.551013221622,80687.3089727829,6.9051317304296305,7,5
33,1999-12-20 00:00:00,4,0.01289522042204995,0.040628115361284675,2.7755575615628914e-17,0.033161377668151935,0.0,15424.418075809139,54455.109789946924,0.6038298572771019,6,5
34,1999-12-21 00:00:00,4,0.05589386848074245,0.04793398630801969,5.551115123125783e-17,0.0472294644747283,2.203098814490545e-16,14039.872197048546,56938.018727016235,8.217259045731396,6,4
35,1999-12-22 00:00:00,5,0.05508579884280669,0.01133105499493466,2.7755575615628914e-17,0.02742685342974087,1.1102230246251565e-16,10312.470197573097,40431.21758495507,8.1947816504194,5,4
36,1999-12-23 00:00:00,5,0.04567457797223044,0.019525034027805477,5.551115123125783e-17,0.0382024818005644,0.0,15754.787567153524,46906.71155582665,5.840467528829848,5,4
37,1999-12-24 00:00:00,5,0.05849891837475232,0.016601629397409678,9.71445146547012e-17,0.0274245408482247,3.3306690738754696e-16,17130.148946695692,68040.3916979279,11.178889785476382,6,4
38,1999-12-25 00:00:00,5,0.03917275690433654,0.021282274788169946,0.0,0.014212450445267531,2.220446049250313e-16,13231.169091030406,62002.59155933699,7.59309483602776,6,3
39,1999-12-26 00:00:00,5,0.039864384244620465,0.026779613728149798,0.0,0.03847394472579498,0.0,12340.46109792932,43377.390006175534,3.8044827734532305,5,3
40,1999-12-27 00:00:00,5,0.008333333333333333,0.031704023112110256,0.0,0.031704023112110256,4.440892098500626e-16,5572.199806443755,13768.54904447362,0.0,3,1
41,1999-12-28 00:00:00,5,0.007350678893856964,0.014926565937735189,0.0,0.014926565937735189,1.1102230246251565e-16,843.6543461873874,17667.63394462431,0.0,5,1
42,1999-12-29 00:00:00,6,0.04257897997485718,0.018511039974605542,0.0,0.011047757005737945,0.0,7196.330245564024,27839.33113782353,9.830504784334394,6,2
43,1999-12-30 00:00:00,6,0.07165267639815673,0.03953997379546123,0.0,0.03087107687424459,0.0,7086.651966600561,16366.015323961765,9.203682751407733,4,2
44,1999-12-31 00:00:00,6,0.12033856042029833,0.11804650591311519,6.938893903907228e-17,0.10261096747599288,2.220446049250313e-16,6194.482909431872,23370.232287368028,21.09609038894368,4,4
45,2000-01-01 00:00:00,6,0.03778026159998883,0.12206591178409762,8.326672684688674e-17,0.04972363135680326,1.1102230246251565e-16,14010.808989619003,49229.19225581392,4.370296232134322,6,4
46,2000-01-02 00:00:00,6,0.04057401081693036,0.022711058287182517,4.163336342344337e-17,0.03249573140408882,3.885780586188048e-16,14344.330989806016,68041.83328572281,8.71548231712056,6,4
47,2000-01-03 00:00:00,6,0.07409432198506948,0.02381514413240337,8.326672684688674e-17,0.026601656967422397,1.1796119636642288e-16,22005.33195777239,56140.38422555597,11.362657579920086,6,4
48,2000-01-04 00:00:00,6,0.048439609199297615,0.023714042881489962,0.0,0.030290074468446115,1.6653345369377348e-16,9565.073564329288,40899.84246113144,5.649648660162288,5,4
49,2000-01-05 00:00:00,7,0.014769286743021828,0.02223614550655427,4.163336342344337e-17,0.052526219975000385,0.0,18736.69487253327,67944.60395030753,2.7514336890419813,7,4
50,2000-01-06 00:00:00,7,0.03164551610693418,0.026735578006028354,0.0,0.06356717962174539,0.0,3283.8796716257943,26217.943068100936,4.183022678145491,4,2
51,2000-01-07 00:00:00,7,0.03170137576880362,0.02768824878353519,0.0,0.050487316438336656,2.220446049250313e-16,6922.267229082753,22181.785931413207,4.0852386200453275,4,3
52,2000-01-08 00:00:00,7,0.06633607065653395,0.08148071978446186,5.551115123125783e-17,0.07807151979594822,0.0,11234.976182937653,28891.91623064242,13.793024068300156,6,3
53,2000-01-09 00:00:00,7,0.03682051600932989,0.0793511232874328,0.0,0.057409412621793,0.0,24882.06273915119,60897.28611897775,3.580225979519831,6,3
54,2000-01-10 00:00:00,7,0.08216180174944047,0.06163282772137112,0.0,0.06902606006017104,1.3877787807814457e-16,55372.56262373555,148421.93171062446,19.516979003912276,10,4
55,2000-01-11 00:00:00,7,0.1580461135727884,0.1894427753814774,2.2204460492503132e-17,0.17301268312828846,1.6653345369377348e-16,28160.111715069022,83298.68489526988,34.94701583216676,6,5
56,2000-01-12 00:00:00,8,0.08598190286319521,0.24183955661934126,0.0,0.12819501595260743,0.0,25553.29889463142,85961.46593802728,20.624619377557707,7,4
57,2000-01-13 00:00:00,8,0.017441262703160258,0.0803981870733788,0.0,0.03475615393616885,1.6653345369377348e-16,15538.814581331659,71305.55773132952,1.2899408229846046,6,5
58,2000-01-14 00:00:00,8,0.06127488276190364,0.06942401555975546,0.0,0.0498429637776098,1.1102230246251565e-16,19534.069782851795,68407.41253387266,8.73271063299758,7,3
