t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.21714409160276713,,,,0.0,23024.25924044361,89418.89731895742,0.0,7,0
1,1999-11-18 00:00:00,0,0.09487717826839744,0.20408169509592786,3.700743415417188e-17,0.20408169509592786,0.0,19137.90310351117,41820.20963222798,0.0,6,3
2,1999-11-19 00:00:00,0,0.21935105506621663,0.3167745737808725,1.1102230246251565e-16,0.08139717445805417,0.0,3800.9072179838013,18060.86303241969,0.0,5,2
3,1999-11-20 00:00:00,0,0.2409296071523465,0.1420303778332812,2.220446049250313e-16,0.15508893459185527,2.220446049250313e-16,932.5449754839331,7236.372735096444,0.0,3,2
4,1999-11-21 00:00:00,0,0.13251788075497722,0.07845049308703415,5.898059818321144e-17,0.2335394276788894,0.0,6044.638081067741,23017.827417255525,0.0,5,2
5,1999-11-22 00:00:00,0,0.21105717765791443,0.04299382304310582,1.4802973661668753e-16,0.1264081990418374,1.6653345369377348e-16,6323.580161523373,13164.13056572713,0.0,4,3
6,1999-11-23 00:00:00,0,0.24039029723074337,0.08279053607037051,0.0,0.09653995976812287,1.249000902703301e-16,6648.4470825740655,38511.07653039812,0.0,5,2
7,1999-11-24 00:00:00,1,0.24594549504904564,0.06504592389064602,1.0755285551056204e-16,0.05800408379229853,0.0,13454.071741654041,64529.68042455971,0.0,6,4
8,1999-11-25 00:00:00,1,0.4182170193640134,0.20574797284355953,0.0,0.18402234648071528,1.6653345369377348e-16,18188.3017486698,62714.242197327185,0.0,6,3
9,1999-11-26 00:00:00,1,0.3260256802903883,0.1012516762869851,4.4408920985006264e-17,0.16237709293464472,1.3877787807814457e-16,22401.131099580078,60504.9930210369,0.0,6,5
10,1999-11-27 00:00:00,1,0.3568819122682556,0.1261532467502585,1.3877787807814457e-16,0.23186788788483326,1.6653345369377348e-16,19942.411220377213,53309.77941876059,0.0,6,5
11,1999-11-28 00:00:00,1,0.37816202183144615,0.14940236032097673,9.020562075079397e-17,0.36520454627699883,2.220446049250313e-16,45260.55563562973,144014.82342759083,0.0,9,4
12,1999-11-29 00:00:00,1,0.19959825163697378,0.4374063235761197,1.1102230246251565e-16,0.34224386677648616,0.0,18416.395681334903,55068.087000094594,0.0,6,5
13,1999-11-30 00:00:00,1,0.199241940399267,0.14580422368742918,9.71445146547012e-17,0.09605978314001214,0.0,23021.32125942465,70499.7087030717,0.0,6,4
14,1999-12-01 00:00:00,2,0.25202395551370965,0.11027645537796622,4.9960036108132046e-17,0.08412897304753353,1.1102230246251565e-16,22278.4944422743,75397.76614415529,0.0,6,5
15,1999-12-02 00:00:00,2,0.1851149598355051,0.05954400546875572,6.938893903907228e-17,0.11110518061982334,0.0,4510.799103731694,15959.697559909153,0.0,4,4
16,1999-12-03 00:00:00,2,0.22692418231275072,0.06820791076276693,4.163336342344337e-17,0.10013465282883127,0.0,17108.728469200192,54149.43205406061,0.0,6,4
17,1999-12-04 00:00:00,2,0.2160979639909269,0.20304023298820403,5.551115123125783e-17,0.20297686599745604,1.6653345369377348e-16,12875.200305656768,40769.41202286601,0.0,5,3
18,1999-12-05 00:00:00,2,0.20269811200353316,0.1961884588014921,9.71445146547012e-17,0.06216928280200936,2.7755575615628914e-16,22283.36047811199,69744.10460180268,0.0,6,4
19,1999-12-06 00:00:00,2,0.15827689007722834,0.025489392984545868,5.551115123125783e-17,0.047244321572965986,0.0,17055.43921187073,52507.516136220314,0.0,6,4
