t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.09926068080581099,,,,0.0,6181.221666150368,19922.321078528126,0.0,4,0
1,1999-11-18 00:00:00,0,0.08570748226606147,0.051871497104410816,0.6460555730261331,0.051871497104410816,0.646055573026097,3906.0999332686224,12469.85601476553,0.0,3,2
2,1999-11-19 00:00:00,0,0.16751226399909025,0.10522458982179217,1.1535534066994302,0.15709608692620297,0.5074978336733171,6580.444622420498,18097.576235400727,0.0,5,2
3,1999-11-20 00:00:00,0,0.1644039779877477,0.19239620704809654,1.8862639283724127,0.16568298295156497,1.3787660946990978,692.8420022363913,2396.797862619819,0.0,2,2
4,1999-11-21 00:00:00,0,0.2574145870379627,0.049208030473377726,0.6697455649828599,0.2148910134249427,0.7090205297162342,3695.8505776232105,10927.288242733326,0.0,4,2
5,1999-11-22 00:00:00,0,0.1683075166636014,0.05857121537999208,0.21310551868599772,0.15631979804495064,0.49591501103023755,668.4862091054418,2500.022800227879,0.0,2,2
6,1999-11-23 00:00:00,0,0.20112194035455366,0.11284213234716145,0.594630983969403,0.15361895682105436,0.0987159729391607,13612.455495540138,39382.10410037826,0.0,5,2
7,1999-11-24 00:00:00,1,0.21573239600660482,0.03154420580328902,0.5934122147752484,0.13098583907349393,0.49469624183610666,7563.442119266227,22142.069778434365,0.0,4,3
8,1999-11-25 00:00:00,1,0.3968343303078471,0.17395539180273092,0.790410485985123,0.24483886201219626,0.29571424414904174,17228.949038477018,47304.974503929996,0.0,5,3
9,1999-11-26 00:00:00,1,0.2704317645212016,0.154694739269757,0.3115875933053312,0.18923146772337066,0.015873349156292276,14627.521664061993,40774.62065219108,0.0,5,3
10,1999-11-27 00:00:00,1,0.29464087395143745,0.03608585017636652,0.15975921948687838,0.1496247308103889,0.17563256864315857,13965.105522421713,40203.617656418064,0.0,5,5
11,1999-11-28 00:00:00,1,0.2400292280575657,0.03308286355785594,0.3987761199573726,0.13718305009006598,0.22314355131420854,15596.48171601214,43168.22753090657,0.0,5,4
12,1999-11-29 00:00:00,1,0.2660195275073599,0.043552491723323664,0.32750356663844676,0.10002916201814918,0.10436001532424344,8207.896143267151,22936.21927035699,0.0,4,2
13,1999-11-30 00:00:00,1,0.2151178910934149,0.039803598813199836,0.20528593391419347,0.07528371177160388,0.1009259185899611,14774.173602211835,42733.79022871098,0.0,5,3
14,1999-12-01 00:00:00,2,0.2808242047339631,0.06570631364054823,0.6513567969483137,0.03069080618085998,0.55043087835835,16409.048885237265,45828.722634930244,0.0,5,5
15,1999-12-02 00:00:00,2,0.10775980061854534,0.03694077366819807,0.650136132832755,0.026309617286776443,1.2005670111911035,2794.924399196685,8259.74031210359,0.0,3,3
16,1999-12-03 00:00:00,2,0.16790120912187204,0.05830526156085777,0.8303837172275769,0.07639764676867299,0.37018329396352684,8890.108874140718,23677.356090024798,0.0,4,3
17,1999-12-04 00:00:00,2,0.1494269075362321,0.07624488455700026,0.18619645785050976,0.15117502937480845,0.18398683611301814,9384.380700622763,24460.390199007586,0.0,4,3
18,1999-12-05 00:00:00,2,0.35801291993967893,0.19218052415602174,0.4222440252372794,0.3433555535308302,0.23825718912425936,35206.56924915728,73069.8998815161,0.0,6,3
19,1999-12-06 00:00:00,2,0.216981571457592,0.17967785976199677,0.22415826474475725,0.30788112582075455,0.01409892437950176,21234.480803448612,53993.966970907466,0.0,6,4
20,1999-12-07 00:00:00,2,0.2174724188722593,0.06140921390557249,0.022067094028647413,0.3317950868041353,0.00796816964917766,21072.139775681055,56686.249994126396,0.0,6,4
21,1999-12-08 00:00:00,3,0.1827503763874386,0.07525468948202915,0.4199105332958828,0.20382182938853102,0.4278787029450643,8309.327439330731,22433.28271965947,0.0,4,4
22,1999-12-09 00:00:00,3,0.21861576603546007,0.10051969972658947,0.41595013207978776,0.257168053032226,0.01192857086527315,3920.6490819970895,11290.214192531817,0.0,3,3
23,1999-12-10 00:00:00,3,0.1445290959441425,0.08096591766872135,0.22708832960522823,0.3137493690023105,0.2390169004705043,11396.011611551781,30542.94664341747,0.0,4,2
24,1999-12-11 00:00:00,3,0.20087654931189025,0.0933926843976991,0.1364603121454142,0.2910544680325164,0.10255658832509104,7270.906448824489,21246.73756144671,0.0,4,3
25,1999-12-12 00:00:00,3,0.253635543871806,0.10375075331521208,0.6542042066113378,0.5288902455617069,0.5516476182862402,11506.240156977921,35827.08508785862,0.0,5,2
26,1999-12-13 00:00:00,3,0.2697468682010006,0.05455303314068733,0.5003543238986483,0.31899815592154085,0.05129329438755881,6604.125918078713,20934.073581243614,0.0,4,4
27,1999-12-14 00:00:00,3,0.3290231922672891,0.06802706665156033,0.8257767243332859,0.27642406232448413,0.8770700187208639,2597.737081331329,8386.489789240935,0.0,3,2
28,1999-12-15 00:00:00,4,0.2727695454708257,0.06317522760729055,1.22349258619525,0.4343020448320291,0.3464225674743774,7747.549698141991,22409.86818658769,0.0,4,1
29,1999-12-16 00:00:00,4,0.3781045798349355,0.07280921013376551,0.41042789745028735,0.2899602325497801,0.06400532997591488,7842.676715870662,25479.466840470475,0.0,4,2
30,1999-12-17 00:00:00,4,0.2765165388122653,0.07030343394292156,0.13539532606257462,0.054067212950663086,0.07138999608667736,19946.82081594602,45770.65562684308,0.0,5,3
31,1999-12-18 00:00:00,4,0.35490746027702913,0.08857862277942094,0.12253069655067006,0.09015610838325547,0.19392069263731215,17596.66700705528,49060.552524526036,0.0,5,5
32,1999-12-19 00:00:00,4,0.15152410074319275,0.08491322071548527,0.7335077842955222,0.0643711313940851,0.927428476284611,14343.467580776552,36989.101282247866,0.0,5,4
33,1999-12-20 00:00:00,4,0.2515988093400628,0.06488946331211586,0.38743247586699864,0.032011908872728326,0.5399960010657704,9670.56664770875,25036.437834653072,0.0,4,4
34,1999-12-21 00:00:00,4,0.2527049746074644,0.04541204230103125,0.4742082605278482,0.05948639561465038,0.06578774053800204,5831.719811843836,16395.957291104,0.0,4,3
35,1999-12-22 00:00:00,5,0.3348099986626315,0.043806029604622876,0.6263589396883696,0.09944125077255019,0.6921466802263581,15996.128308838102,41965.736267358974,0.0,5,3
36,1999-12-23 00:00:00,5,0.2248601794497241,0.1389784533192603,1.8505089733003004,0.15859340129216354,1.1583622930738882,31328.1310872693,82823.40707846437,0.0,6,4
37,1999-12-24 00:00:00,5,0.1815379105399717,0.0809961587407696,0.12553774494381692,0.05169699994885005,1.0328245481301042,27769.083851272182,72006.5729546244,0.0,6,4
