t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.1593993641942804,,,,0.0,267.74619680214823,19922.321078528126,0.0,4,0
1,1999-11-18 00:00:00,0,0.1958358554235832,0.051871497104410816,0.6460555730261331,0.051871497104410816,0.646055573026097,161.35987910854385,12469.85601476553,0.0,3,2
2,1999-11-19 00:00:00,0,0.23874978135075758,0.10522458982176863,1.1535534066994302,0.15709608692617943,0.5074978336733171,1516.272891730594,18097.576235400727,0.0,5,2
3,1999-11-20 00:00:00,0,0.3056079870065656,0.18162637679957844,1.8862639283724127,0.1977705194647867,1.3787660946990978,1.387845341876926,2396.797862619819,0.0,2,2
4,1999-11-21 00:00:00,0,0.3863451630883591,0.08865892778022898,0.66974556498286,0.2864294472450156,0.7090205297162342,377.7604979536711,10927.288242733326,0.0,4,2
5,1999-11-22 00:00:00,0,0.3095115256813146,0.0903786608993819,0.2131055186859978,0.19605078634563378,0.49591501103023755,12.105450044206318,2500.022800227879,0.0,2,2
6,1999-11-23 00:00:00,0,0.34664476109075953,0.13276599526627908,0.594630983969403,0.1536189534412841,0.0987159729391607,2591.6108783906,39382.10410037826,0.0,5,2
7,1999-11-24 00:00:00,1,0.3892942883181441,0.0332767878231958,0.5934122147752484,0.13568942345071855,0.4946962418361069,1235.2116466254672,22142.069778434365,0.0,4,3
8,1999-11-25 00:00:00,1,0.5726874366752241,0.3253195957911032,0.7904104859851229,0.31273068972074203,0.29571424414904174,3366.6626715509506,47304.974503929996,0.0,5,3
9,1999-11-26 00:00:00,1,0.41634706978823094,0.2807193417123843,0.31158759330533126,0.39050191271164336,0.015873349156292165,2953.904253991056,40774.62065219108,0.0,5,3
10,1999-11-27 00:00:00,1,0.4405834317008891,0.040692414923839126,0.15975921948687838,0.2749935625508252,0.17563256864315846,2640.3514905314714,40203.617656418064,0.0,5,5
11,1999-11-28 00:00:00,1,0.38516351381894565,0.03308286355963244,0.3987761199573726,0.21687477609703176,0.22314355131420854,3687.6287611780476,43168.22753090657,0.0,5,4
12,1999-11-29 00:00:00,1,0.4258230504208863,0.1283113704501447,0.3275035666384468,0.18622639982658978,0.10436001532424333,2180.3951752773937,22936.21927035699,0.0,4,2
13,1999-11-30 00:00:00,1,0.3663868355075669,0.11309744433767892,0.20528593391419356,0.10773218114604866,0.10092591858996132,2414.65215839499,42733.79022871098,0.0,5,3
14,1999-12-01 00:00:00,2,0.43572239966918325,0.07710203587658986,0.6513567969483137,0.03014629030276846,0.5504308783583503,3648.8617135981413,45828.722634930244,0.0,5,5
15,1999-12-02 00:00:00,2,0.182827689878606,0.11675922126604056,0.650136132832755,0.08827467797307458,1.2005670111911035,479.6777592945713,8259.74031210359,0.0,3,3
16,1999-12-03 00:00:00,2,0.2711675854711669,0.05720914333252982,0.8303837172275769,0.10545817927525288,0.37018329396352684,2491.4595685066674,23677.356090024798,0.0,4,3
17,1999-12-04 00:00:00,2,0.25041454925505957,0.15092422932702051,0.18619645785050984,0.12307194818897094,0.18398683611301803,2477.0490016181084,24460.390199007586,0.0,4,3
18,1999-12-05 00:00:00,2,0.5193758268795823,0.40189178411884957,0.4222440252372793,0.5249637323078205,0.23825718912425914,17348.699450202384,73069.8998815161,0.0,6,3
19,1999-12-06 00:00:00,2,0.2506814177014299,0.3518419325925735,0.22415826474475717,0.6401743041667897,0.01409892437950176,5013.313121711898,53993.966970907466,0.0,6,4
20,1999-12-07 00:00:00,2,0.31613968809052445,0.07176862421161291,0.02206709402864733,0.6658505996947126,0.00796816964917755,5695.970806546583,56686.249994126396,0.0,6,4
21,1999-12-08 00:00:00,3,0.2603888782959376,0.08754985406052936,0.4199105332958828,0.42890684853058636,0.4278787029450643,2640.345428599734,22433.28271965947,0.0,4,4
22,1999-12-09 00:00:00,3,0.2533074114919595,0.10051969972658951,0.4159501320797878,0.4715259787090133,0.011928570865272927,594.7102961769447,11290.214192531817,0.0,3,3
23,1999-12-10 00:00:00,3,0.2904364503358162,0.0809659176687213,0.2270883296052283,0.545219666702931,0.2390169004705043,3440.6026327858217,30542.94664341747,0.0,4,2
24,1999-12-11 00:00:00,3,0.27165544807091524,0.1295553256470147,0.13646031214541413,0.49303510344896867,0.10255658832509104,932.7039331592523,21246.73756144671,0.0,4,3
25,1999-12-12 00:00:00,3,0.634654676636367,0.10375075331207023,0.6542042066113378,0.688943263483848,0.5516476182862402,994.9462842951517,35827.08508785862,0.0,5,2
26,1999-12-13 00:00:00,3,0.5928645648199731,0.05455303314068734,0.5003543238986483,0.39902466488261135,0.05129329438755881,169.10999182080528,20934.073581243614,0.0,4,4
27,1999-12-14 00:00:00,3,0.7082038221098227,0.06802706665156036,0.8257767243332856,0.28153024049636843,0.8770700187208639,2.718393833276185,8386.489789240935,0.0,3,2
28,1999-12-15 00:00:00,4,0.6832772267747599,0.06317522784465067,1.22349258619525,0.4071938872053055,0.3464225674743776,1437.6280917491656,22409.86818658769,0.0,4,1
29,1999-12-16 00:00:00,4,0.573289330754846,0.07280921019028479,0.41042789745028746,0.27640615379293754,0.06400532997591465,256.0310629105043,25479.466840470475,0.0,4,2
30,1999-12-17 00:00:00,4,0.48097022109554405,0.11319730976629967,0.13539532606257462,0.09783876661722497,0.07138999608667736,9071.124188409121,45770.65562684308,0.0,5,3
