t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.06470443990759958,,,,0.0,5324.039849733046,19922.321078528126,0.0,4,0
1,1999-11-18 00:00:00,0,0.07407700508797892,0.05380253995383598,2.220446049250313e-16,0.05380253995383598,1.1102230246251565e-16,1983.7913898760942,12469.85601476553,0.0,3,2
2,1999-11-19 00:00:00,0,0.19158968451017905,0.11230508026970401,3.3306690738754696e-16,0.16610762022354,0.0,3276.8212428735937,18097.576235400727,0.0,5,2
3,1999-11-20 00:00:00,0,0.16070557555531306,0.2383797862265567,0.0,0.23518020172394674,0.0,4.96579713070963,2396.797862619819,0.0,2,2
4,1999-11-21 00:00:00,0,0.20765673770299248,0.0648927998634489,1.0755285551056204e-16,0.20943326645483296,2.220446049250313e-16,2246.385105844987,10927.288242733326,0.0,4,2
5,1999-11-22 00:00:00,0,0.020176963257454855,0.11478167702874442,0.0,0.0946515894260885,0.0,828.5476645430984,2500.022800227879,0.0,2,2
6,1999-11-23 00:00:00,0,0.29927532555010783,0.07434309348031339,0.0,0.02030849594577512,0.0,6698.661591044164,39382.10410037826,0.0,5,2
7,1999-11-24 00:00:00,1,0.21882830408793347,0.0391487416092652,7.401486830834377e-17,0.04972956583856139,2.220446049250313e-16,2608.5401627286283,22142.069778434365,0.0,4,3
8,1999-11-25 00:00:00,1,0.16069488396349407,0.0976777811228476,0.0,0.10997105017819815,0.0,15338.148727728758,47304.974503929996,0.0,5,3
9,1999-11-26 00:00:00,1,0.17672256387466945,0.1245324645887303,3.700743415417188e-17,0.08766024349280566,2.185751579730777e-16,13248.602635631354,40774.62065219108,0.0,5,3
10,1999-11-27 00:00:00,1,0.24570236939058585,0.18094682157631872,1.7763568394002506e-16,0.209777442055941,1.6653345369377348e-16,15372.615791049087,40203.617656418064,0.0,5,5
11,1999-11-28 00:00:00,1,0.3741407829581001,0.21801083790060577,4.163336342344337e-17,0.2847036487193102,1.3877787807814457e-16,10901.475610986752,43168.22753090657,0.0,5,4
12,1999-11-29 00:00:00,1,0.3833945988510544,0.043330393158942306,0.0,0.2805302982984934,1.942890293094024e-16,3852.2144091901746,22936.21927035699,0.0,4,2
13,1999-11-30 00:00:00,1,0.2751146344588332,0.03775425920561529,3.700743415417188e-17,0.2247744580712776,2.498001805406602e-16,11300.299602399471,42733.79022871098,0.0,5,3
14,1999-12-01 00:00:00,2,0.3539028792128551,0.11691833111494394,6.661338147750939e-17,0.2517830059577105,2.220446049250313e-16,6832.276806777984,45828.722634930244,0.0,5,5
15,1999-12-02 00:00:00,2,0.18213517669121435,0.04490793943136512,0.0,0.24640844113307436,2.220446049250313e-16,1288.7459191720704,8259.74031210359,0.0,3,3
16,1999-12-03 00:00:00,2,0.25847572315645007,0.08522497996874571,3.700743415417188e-17,0.24435170749725324,1.1102230246251565e-16,4130.59188077329,23677.356090024798,0.0,4,3
17,1999-12-04 00:00:00,2,0.17005456066521663,0.2384693708281431,2.7755575615628914e-16,0.055321045899791,0.0,4694.430381269879,24460.390199007586,0.0,4,3
