t,current,previous,track,iou,boundary
1,1744,2278,3,0.44680851063829785,True
1,1960,2107,2,0.07692307692307693,True
2,1221,1744,3,0.06609808102345416,True
2,2352,1960,2,0.18181818181818182,True
3,1113,1221,3,0.056451612903225805,True
3,2352,2352,2,0.29577464788732394,True
4,663,1113,3,0.30913978494623656,True
4,2355,2352,2,0.8998109640831758,True
5,813,663,3,0.4007936507936508,True
5,2362,2355,2,0.7552674230145867,True
6,870,813,3,0.2346723044397463,False
6,2169,2362,2,0.09913043478260869,True
7,0,13,11,0.24120603015075376,True
7,1025,870,3,0.5369458128078818,True
7,2118,2169,2,0.21052631578947367,True
8,0,0,11,0.20603015075376885,True
8,1077,1025,3,0.06020066889632107,True
8,2372,2118,2,0.042704626334519574,True
9,147,0,11,0.4939759036144578,True
9,342,1077,3,0.11057692307692307,True
9,1773,2372,2,0.22514619883040934,True
10,0,147,11,0.6265060240963856,True
10,25,26,16,0.35714285714285715,True
10,48,342,3,0.5128205128205128,True
10,1568,1773,2,0.056962025316455694,True
10,2128,2377,17,0.2064343163538874,True
11,0,0,11,0.4423076923076923,True
11,25,25,16,0.6268656716417911,True
11,48,48,3,0.69,True
11,2387,2128,17,0.4187192118226601,True
12,26,25,16,0.6568627450980392,True
12,2385,2387,17,0.4592760180995475,True
13,27,26,16,0.5098039215686274,True
13,1964,2064,20,0.011904761904761904,True
13,2400,2385,17,0.4314159292035398,True
14,9,357,22,0.39800995024875624,True
14,31,27,16,0.2976190476190476,True
14,48,44,21,0.40350877192982454,True
14,2107,1964,20,0.01098901098901099,True
14,2138,2400,17,0.3713768115942029,True
15,7,9,22,0.7764227642276422,True
15,81,31,16,0.2878787878787879,True
15,2106,2138,17,0.4528301886792453,True
16,4,7,22,0.6582633053221288,True
16,34,81,16,0.3869346733668342,True
16,2400,2106,17,0.23954060705496308,True
17,5,4,22,0.6867816091954023,True
17,43,34,16,0.31840796019900497,True
17,2394,2400,17,0.2054794520547945,True
18,5,5,22,0.6234309623430963,True
18,42,43,16,0.34759358288770054,True
18,2396,2394,17,0.5522388059701493,True
19,3,5,22,0.4697986577181208,True
19,43,42,16,0.4153846153846154,True
19,1911,1764,26,0.30414746543778803,True
19,2389,2396,17,0.3283582089552239,True
20,11,3,22,0.47619047619047616,True
20,279,43,16,0.09060402684563758,True
20,1918,1911,26,0.19617224880382775,True
20,2394,2389,17,0.03731343283582089,True
21,37,279,16,0.8523489932885906,True
21,259,11,22,0.40236686390532544,True
21,1771,1918,26,0.2459016393442623,True
21,2155,2034,31,0.06968641114982578,True
22,45,37,16,0.5076335877862596,True
22,1781,1771,26,0.20317460317460317,True
22,2302,2155,31,0.3404255319148936,True
23,48,45,16,0.574468085106383,True
