run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
sigma300,0,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,1,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,2,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,3,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,4,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,5,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,6,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,7,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,8,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,9,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,10,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,11,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,12,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,13,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,14,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,15,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,16,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,17,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,18,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,19,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,20,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,21,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,22,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,23,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,24,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,25,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,26,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,27,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,28,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,29,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,30,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,31,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,32,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,33,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,34,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,35,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,36,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,37,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,38,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,39,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,40,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,41,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,42,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,43,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,44,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
sigma300,45,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
