t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.014958672846707924,,,,0.0,13233.462048716752,37728.458643251746,0.838057220690132,5,0
1,1999-11-17 06:00:00,0,0.018011161861575226,0.009904501784895704,2.949029909160572e-17,0.009904501784895704,0.0,6799.481731510884,18966.488630996704,1.2033396438740027,4,4
2,1999-11-17 12:00:00,0,0.018762772564196575,0.0007516107026213525,2.7755575615628914e-17,0.010656112487517055,0.0,6652.271901768779,18020.527265553024,1.2515327077035892,4,4
3,1999-11-17 18:00:00,0,0.019644100941738785,0.0008813283775422083,6.245004513516506e-17,0.011537440865059263,1.1102230246251565e-16,6372.255721227313,17438.364188713636,1.3572921130086542,4,4
4,1999-11-18 00:00:00,0,0.019591138966412045,0.015348115884458008,9.020562075079397e-17,0.022558599313529583,1.6653345369377348e-16,11876.66662822445,42854.48291197174,2.184089460044561,6,4
5,1999-11-18 06:00:00,0,0.006447882657421192,0.017809493916984342,1.942890293094024e-16,0.01898339883965221,0.0,518.4707835572749,14758.451451953955,0.0,4,2
6,1999-11-18 12:00:00,0,0.03818857095661647,0.040055450455741146,7.401486830834377e-17,0.036944065122786335,1.1102230246251565e-16,17233.39425053775,47775.69777131372,3.9789726696797203,7,3
7,1999-11-18 18:00:00,0,0.03994071287519044,0.012786249446301566,3.700743415417188e-17,0.04249737484963368,1.1102230246251565e-16,9037.347219630363,32632.183158285203,4.504712447098015,5,3
8,1999-11-19 00:00:00,0,0.03583466238878156,0.015483112764262494,1.1102230246251565e-16,0.03213493453082746,0.0,3199.3506878933226,18164.149759046966,4.986010502766646,5,4
9,1999-11-19 06:00:00,0,0.008333333333333333,0.021674608737669784,0.0,0.027997035924299547,0.0,577.4259334908846,5849.772476779486,0.0,3,3
10,1999-11-19 12:00:00,0,0.008333333333333333,0.0,5.551115123125783e-17,0.027997035924299547,1.6653345369377348e-16,552.9657317906244,5838.090020262141,0.0,3,3
11,1999-11-19 18:00:00,0,0.008333333333333333,0.0,1.3877787807814457e-16,0.027997035924299547,0.0,1067.2922147731708,6850.223944564126,0.0,3,3
12,1999-11-20 00:00:00,0,0.008333333333333333,0.0,5.551115123125783e-17,0.027652299741074075,0.0,1124.8814785755278,2350.9344937571113,0.0,2,2
13,1999-11-20 06:00:00,0,0.008333333333333333,0.0,1.0755285551056204e-16,0.027652299741074075,0.0,1894.2892882467722,5357.129610192371,0.0,3,2
14,1999-11-20 12:00:00,0,0.008333333333333333,0.0,0.0,0.018434866494049382,1.1102230246251565e-16,2300.0673936346125,5812.309761187949,0.0,3,3
15,1999-11-20 18:00:00,0,0.008333333333333333,0.0,5.551115123125783e-17,0.027652299741074075,0.0,2714.9525297738633,8724.981493352547,0.0,4,2
16,1999-11-21 00:00:00,0,0.04819414182763643,0.03974046173205533,0.0,0.052704097975728746,1.1102230246251565e-16,2981.3706019686847,11088.9442252836,6.826621853725584,4,3
