t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18546789476943176,,,,0.0,36573.29855947101,37728.458643251746,0.0,5,0
1,1999-11-17 06:00:00,0,0.1758200661395855,0.00837862877476215,0.007905179507131932,0.00837862877476215,0.007905179507117813,18369.524385849974,18966.488630996704,0.0,4,4
2,1999-11-17 12:00:00,0,0.18017797719210668,0.01925283856372815,0.07820952659188447,0.027631467338490298,0.07030434708476072,17445.141884145505,18020.527265553024,0.0,4,4
3,1999-11-17 18:00:00,0,0.1890288413740489,0.011506692099714845,0.07424912537577405,0.03913815943820514,0.00394477829101423,16882.837312448406,17438.364188713636,0.0,4,4
4,1999-11-18 00:00:00,0,0.19783371748385295,0.023414653766721142,0.42140170037100144,0.0504369140156021,0.4253464786619935,41486.20551379521,42854.48291197174,0.0,6,4
5,1999-11-18 06:00:00,0,0.23859006515103945,0.028189987898897446,0.21831262404454022,0.03357993889398615,0.20703385461744775,14307.857295013573,14758.451451953955,0.0,4,2
6,1999-11-18 12:00:00,0,0.24751906070607815,0.0309238201853515,0.6907287996957011,0.029161523410595133,0.8977626543131082,46251.8455474462,47775.69777131372,0.0,7,3
7,1999-11-18 18:00:00,0,0.19171584780808487,0.007487840592486548,0.09662683568905935,0.03664936400308167,0.8011358186240436,31624.04674830257,32632.183158285203,0.0,5,3
8,1999-11-19 00:00:00,0,0.2182148970623378,0.020773072284218284,0.35447955337530374,0.04826009528652954,0.4466562652487437,17618.152359462638,18164.149759046966,0.0,5,4
9,1999-11-19 06:00:00,0,0.19001717140215765,0.061752157431741506,0.46807870083615266,0.1055390712703924,0.021422435587406488,5656.969805663545,5849.772476779486,0.0,3,3
10,1999-11-19 12:00:00,0,0.21006876176893263,0.020199516205415022,0.35474630303232296,0.12573858747580743,0.3761687386197344,5651.481876008557,5838.090020262141,0.0,3,3
11,1999-11-19 18:00:00,0,0.2152515590914531,0.016154983490089293,0.4126464675168377,0.1309213847983279,0.7888152061365635,6640.521134591274,6850.223944564126,0.0,3,3
12,1999-11-20 00:00:00,0,0.09849010558500568,0.020296601681849116,0.5915561366802102,0.13835583697493967,1.3803713428167719,2277.0879550836435,2350.9344937571113,0.0,2,2
13,1999-11-20 06:00:00,0,0.16166691314674153,0.00491188551031995,1.1540831348230935,0.14244092706384462,0.22628820799368007,5189.80601818667,5357.129610192371,0.0,3,2
14,1999-11-20 12:00:00,0,0.16304454706342694,0.00555526830925598,0.2884666939126839,0.10051588635181907,0.5147549019058835,5627.962630638989,5812.309761187949,0.0,3,3
15,1999-11-20 18:00:00,0,0.19700990212582606,0.003743830575742339,0.26145887735268014,0.14383593279017942,0.7762137792585596,8448.131587191938,8724.981493352547,0.0,4,2
16,1999-11-21 00:00:00,0,0.2036584954836628,0.016183537598493735,0.08898961700145325,0.11097910193381237,0.6872241622568198,10745.442237620859,11088.9442252836,0.0,4,3
17,1999-11-21 06:00:00,0,0.17301728814560563,0.01902896317593535,0.27261464032963834,0.09633578368626877,0.4146095219271609,22182.220852784725,22806.41583017537,0.0,5,4
