t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.18538665830323875,,,,0.0,36284.68479338684,37728.458643251746,0.0,5,0
1,1999-11-17 06:00:00,0,0.17597684200732577,0.008951878748229402,1.4224732503009818e-16,0.008951878748229402,2.237793284010081e-16,18405.95797156527,18966.488630996704,0.0,4,4
2,1999-11-17 12:00:00,0,0.18104399826881457,0.0192133040827994,2.7755575615628914e-17,0.0281651828310288,2.0816681711721685e-16,17390.199778883714,18020.527265553024,0.0,4,4
3,1999-11-17 18:00:00,0,0.18974474510295597,0.011388088656928494,1.3183898417423734e-16,0.039553271487957294,1.1188966420050406e-16,16836.600271156527,17438.364188713636,0.0,4,4
4,1999-11-18 00:00:00,0,0.196178190371592,0.02320106017338496,5.551115123125783e-17,0.05064447004269502,0.0,41623.70139897777,42854.48291197174,0.0,6,4
5,1999-11-18 06:00:00,0,0.22895079492314815,0.017577038400474917,0.0,0.03313328020256813,4.163336342344337e-16,14098.795610976833,14758.451451953955,0.0,4,2
6,1999-11-18 12:00:00,0,0.24288169038725993,0.031038639903524887,7.401486830834377e-17,0.034999036797105386,4.440892098500626e-16,46234.66183484575,47775.69777131372,0.0,7,3
7,1999-11-18 18:00:00,0,0.18646197207739504,0.007897251592680258,2.498001805406602e-16,0.042896288389785646,1.1102230246251565e-16,31431.332808330186,32632.183158285203,0.0,5,3
8,1999-11-19 00:00:00,0,0.21203161956224575,0.020801164518234577,2.5673907444456745e-16,0.05297338081057382,1.6653345369377348e-16,17306.62940597649,18164.149759046966,0.0,5,4
9,1999-11-19 06:00:00,0,0.1923747847802678,0.06100539501419796,1.6653345369377348e-16,0.11074592281421837,0.0,5571.8882779946825,5849.772476779486,0.0,3,3
10,1999-11-19 12:00:00,0,0.21281150787125547,0.020436723090987662,5.551115123125783e-17,0.13118264590520606,0.0,5541.008273196638,5838.090020262141,0.0,3,3
11,1999-11-19 18:00:00,0,0.21590776314475713,0.014079492750182965,7.401486830834377e-17,0.13427890117870775,2.220446049250313e-16,6421.995827943103,6850.223944564126,0.0,3,3
12,1999-11-20 00:00:00,0,0.10449352878506585,0.020592390574176486,0.0,0.14845625260776873,2.220446049250313e-16,2198.4528266835764,2350.9344937571113,0.0,2,2
13,1999-11-20 06:00:00,0,0.1645919411249888,0.004720802185830841,1.0755285551056204e-16,0.15289595623961652,3.608224830031759e-16,5049.528776929042,5357.129610192371,0.0,3,2
14,1999-11-20 12:00:00,0,0.16513056550196345,0.0051384275847780716,1.8503717077085943e-16,0.10706906507785575,3.3306690738754696e-16,5498.195663209433,5812.309761187949,0.0,3,3
15,1999-11-20 18:00:00,0,0.19679573005976617,0.003758268444099588,2.211772431870429e-16,0.15420549258526434,0.0,8222.467434985658,8724.981493352547,0.0,4,2
16,1999-11-21 00:00:00,0,0.20294369699672538,0.016679914970869663,7.517135062566164e-17,0.11764752759107405,1.1102230246251565e-16,10572.00359550444,11088.9442252836,0.0,4,3
17,1999-11-21 06:00:00,0,0.171059605703415,0.018226565782555326,1.1102230246251565e-16,0.09823339785858166,1.6653345369377348e-16,22058.907613596395,22806.41583017537,0.0,5,4
18,1999-11-21 12:00:00,0,0.18308464196923815,0.017993538698079774,1.0668549377257364e-16,0.10721327133700681,0.0,22000.575350903815,22877.27035903909,0.0,5,4
19,1999-11-21 18:00:00,0,0.12854724088334077,0.011290501197998203,1.4687325429936968e-16,0.11990964303911271,0.0,4561.1851424781835,4718.696807554727,0.0,3,3
20,1999-11-22 00:00:00,0,0.14063763476129185,0.04157720004323515,3.515706244646329e-16,0.09813560404907103,2.220446049250313e-16,12917.728885935778,13170.127228093646,0.0,4,3
21,1999-11-22 06:00:00,0,0.16916041703337023,0.029298818221160296,0.0,0.03770642258341567,1.1102230246251565e-16,8575.09286339537,8755.256170146095,0.0,3,2
22,1999-11-22 12:00:00,0,0.1435490692346922,0.022273160249742584,7.401486830834377e-17,0.04741077530535304,0.0,36670.52809769953,38018.88460752566,0.0,5,3
23,1999-11-22 18:00:00,0,0.19143500582096354,0.01373141558341964,7.216449660063518e-17,0.04217788076663146,3.3306690738754696e-16,63585.33177824036,65429.31342000427,0.0,6,5
24,1999-11-23 00:00:00,0,0.1614699642730781,0.02503859836226379,1.3322676295501878e-16,0.05778758576316574,3.608224830031759e-16,37216.792179654505,38656.573597538205,0.0,5,5
25,1999-11-23 06:00:00,0,0.17288457313993014,0.016666780301527167,1.3877787807814457e-16,0.07445436606469291,0.0,54336.36790581104,56294.93481370106,0.0,6,5
26,1999-11-23 12:00:00,0,0.1490902857357503,0.02014612291615118,8.153200337090993e-17,0.1039882960439548,1.1102230246251565e-16,20062.529077573476,21026.95917459552,0.0,4,4
27,1999-11-23 18:00:00,0,0.14885856628568253,0.0029166366625624184,1.5525775109992423e-16,0.10377066686834172,0.0,19779.302272634315,20734.673880180795,0.0,4,4
28,1999-11-24 00:00:00,1,0.19903714617992155,0.08339042893240867,1.4802973661668753e-16,0.13924108214347167,2.220446049250313e-16,35617.78660432811,37069.00137035612,0.0,5,3
29,1999-11-24 06:00:00,1,0.11694242868602904,0.03393006427835562,0.0,0.06581782110099409,0.0,30885.931880913566,31934.329456975673,0.0,5,4
30,1999-11-24 12:00:00,1,0.15200745043668268,0.015246095999313446,3.8163916471489756e-17,0.06703511664328825,4.440892098500626e-16,9776.292651635047,10224.258695096072,0.0,3,3
31,1999-11-24 18:00:00,1,0.12503269892532437,0.026190309081800284,1.2027416100105862e-16,0.055162857997001026,1.1102230246251565e-16,23631.206888843502,24480.185261411818,0.0,4,3
32,1999-11-25 00:00:00,1,0.25517787423580945,0.06832152249084339,3.700743415417188e-17,0.02327684722319809,2.7755575615628914e-16,44561.559969190006,46299.42057099687,0.0,5,3
33,1999-11-25 06:00:00,1,0.24173135838348778,0.02097401198559714,9.992007221626409e-17,0.014717834442641653,3.3306690738754696e-16,61143.792589463505,62817.91367135888,0.0,6,5
34,1999-11-25 12:00:00,1,0.24657660426611328,0.014226571419413197,1.133352670971514e-16,0.024720073905225588,1.1102230246251565e-16,61688.02540585773,63265.79155736668,0.0,6,6
35,1999-11-25 18:00:00,1,0.24073775860103452,0.0169884470682212,7.632783294297951e-17,0.03999383607046095,1.3877787807814457e-16,61437.894760025316,63057.4643949925,0.0,6,6
36,1999-11-26 00:00:00,1,0.2327980779721426,0.016677963084553306,6.47630097698008e-17,0.04800026867616471,1.3877787807814457e-16,59024.05128340261,61054.28314682403,0.0,6,6
37,1999-11-26 06:00:00,1,0.17260045569699017,0.02020684052968393,1.3322676295501878e-16,0.06576066300452361,0.0,39383.56178742263,40697.51382104027,0.0,5,5
38,1999-11-26 12:00:00,1,0.1387481324699467,0.018233446576904868,0.0,0.07950186287978808,0.0,55787.11771520957,57378.81975057557,0.0,6,5
39,1999-11-26 18:00:00,1,0.16829752843722948,0.026463148326070773,5.551115123125783e-17,0.08622715301912268,0.0,52202.036343403015,53807.727222112895,0.0,6,5
40,1999-11-27 00:00:00,1,0.20447634079226168,0.019823856675337558,2.2204460492503132e-17,0.09105993902258196,0.0,38798.02971148067,40052.76372256911,0.0,5,5
41,1999-11-27 06:00:00,1,0.205583349349042,0.015258512246396716,1.609823385706477e-16,0.10631845126897868,1.942890293094024e-16,41049.09097347921,42501.47486189735,0.0,5,5
42,1999-11-27 12:00:00,1,0.24838905597948951,0.017474229274274045,1.5612511283791264e-16,0.1427895408485744,1.942890293094024e-16,34738.86880598631,36082.66668761158,0.0,5,4
