t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,1999-11-17 00:00:00,0,0.21721813061888923,,,,0.0,7290.97835898319,37728.458643251746,0.0,5,0
1,1999-11-17 06:00:00,0,0.24939157573899545,0.026503628774762155,1.700029006457271e-16,0.026503628774762155,2.237793284010081e-16,5530.271473933854,18966.488630996704,0.0,4,4
2,1999-11-17 12:00:00,0,0.27463315731833793,0.025241581579342514,5.898059818321144e-17,0.04450646733849034,2.0816681711721685e-16,3975.8329489592197,18020.527265553024,0.0,4,4
3,1999-11-17 18:00:00,0,0.27687808805076625,0.007756692099714805,6.591949208711867e-17,0.05226315943820517,2.229119666630197e-16,3939.4818665215894,17438.364188713636,0.0,4,4
4,1999-11-18 00:00:00,0,0.2622312210594932,0.019670535742760537,5.551115123125783e-17,0.056999414017818974,1.6653345369377348e-16,17487.02915625122,42854.48291197174,0.0,6,4
5,1999-11-18 06:00:00,0,0.05343329465782076,0.2585406992353744,0.0,0.2931816225497026,2.7755575615628914e-16,1428.8258533555113,14758.451451953955,0.0,4,2
6,1999-11-18 12:00:00,0,0.1638480966225546,0.05861035450459165,0.0,0.23243941257450051,3.3306690738754696e-16,13772.318368399743,47775.69777131372,0.0,7,3
7,1999-11-18 18:00:00,0,0.13153974752179723,0.02744018298285478,2.498001805406602e-16,0.25809015844689204,1.1102230246251565e-16,8697.822599539742,32632.183158285203,0.0,5,3
8,1999-11-19 00:00:00,0,0.1226351132165592,0.03909049672409573,2.0816681711721685e-16,0.22445599601233046,0.0,3353.0103064544433,18164.149759046966,0.0,5,4
9,1999-11-19 06:00:00,0,0.17289973954009966,0.05607844204622698,1.2027416100105862e-16,0.2711453217776949,0.0,672.6704371365288,5849.772476779486,0.0,3,3
10,1999-11-19 12:00:00,0,0.20059925574551465,0.02769951620541498,7.401486830834377e-17,0.29354074650921175,1.6653345369377348e-16,542.5831089253234,5838.090020262141,0.0,3,3
