method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
TMTM,0,0,0.08474333367049673,,,,False,True,,19.039176783791405,8.869976743331797,0.05,2.9975193140878416
TMTM,0,1,0.2133248991073486,,,,False,True,,63.76896463621363,38.1699767433318,2.4000000000000004,143.88092707621638
TMTM,0,2,0.180881276449918,,,,False,False,,68.67572991732196,46.9699767433318,0.6000000000000001,35.970231769054095
TMTM,0,3,0.5430453265472232,,,,False,True,,20.404537557665027,85.56997674333181,0.75,44.962789711317626
TMTM,0,4,0.06409581731945971,,,,False,True,,65.81147482166696,58.1199767433318,21.6,1294.9283436859475
TMTM,1,1,0.24129889476017924,0.027973995652830652,0.0,0.027973995652830652,True,True,0.6041666666666666,64.8258441145533,35.8699767433318,1.4500000000000002,86.9280601085474
TMTM,1,2,0.18605059202207486,0.005169315572156859,2.220446049250313e-16,0.005169315572156859,True,False,0.5714285714285714,68.69604778598078,46.3699767433318,1.05,62.947905595844674
TMTM,1,3,0.48814756076371507,0.054897765783508135,2.220446049250313e-16,0.054897765783508135,True,True,0.3409090909090909,22.142269451685994,80.7199767433318,2.2,131.89084981986502
TMTM,1,4,0.08206925541001268,0.017973438090552976,2.3592239273284576e-16,0.017973438090552976,True,True,0.8878923766816144,67.01828739253332,57.1699767433318,20.5,1228.9829187760151
TMTM,2,1,0.2804972642815889,0.03919836952140964,1.1102230246251565e-16,0.06717236517424029,True,True,0.6470588235294118,67.07964845712246,33.419976743331794,1.35,80.93302148037172
TMTM,2,2,0.20864084239056288,0.022590250368488007,0.0,0.027759565940644867,True,False,0.5588235294117647,70.50687783019934,45.4699767433318,1.6,95.92061805081093
TMTM,2,4,0.10676947580625645,0.024700220396243762,1.249000902703301e-16,0.04267365848679674,True,True,0.8676122931442081,68.63231384008257,55.8199767433318,19.0,1139.0573393533798
TMTM,2,3,0.5026250467949437,0.014477486031228655,0.0,0.04042027975227948,True,True,0.41509433962264153,25.704971127938553,86.0199767433318,5.300000000000001,317.7370472933112
TMTM,3,1,0.29389065480874454,0.013393390527155683,1.249000902703301e-16,0.08056575570139597,True,True,0.5,69.38685532038114,34.1199767433318,1.2000000000000002,71.94046353810819
TMTM,3,2,0.21459643086516986,0.0059555884746069765,0.0,0.033715154415251844,True,False,0.6590909090909091,72.32154844715218,46.5699767433318,2.0500000000000003,122.89829187760151
TMTM,3,4,0.1074237424687799,0.0006542666625234617,0.0,0.0433279251493202,True,True,0.9166666666666666,69.41082583958539,56.519976743331796,17.8,1067.1168758152717
TMTM,3,3,0.49160152406037055,0.0110235227345731,1.3877787807814457e-16,0.05144380248685264,True,True,0.5916666666666667,26.327793856087336,85.31997674333181,4.25,254.78914169746653
TMTM,4,1,0.31605775023385313,0.022167095425108543,0.0,0.10273285112650452,True,False,0.08333333333333333,71.94690677139417,34.019976743331796,0.1,5.995038628175683
TMTM,4,5,0.32819692496170333,,,,False,False,,73.6536077387362,34.269976743331796,0.05,2.9975193140878416
TMTM,4,2,0.23686423476603297,0.022267803900863116,2.220446049250313e-16,0.05598295831611496,True,False,0.08888888888888889,77.49368491525576,49.0699767433318,0.4,23.980154512702732
TMTM,4,4,0.11180242378755695,0.004378681318777033,0.0,0.04770660646809723,True,True,0.7916666666666666,69.98626759783863,56.5699767433318,14.450000000000001,866.2830817713863
TMTM,4,6,0.05899590622114858,,,,False,False,,34.399485489869626,27.319976743331797,0.05,2.9975193140878416
TMTM,4,3,0.521470086386664,0.029868562326293445,0.0,0.021575240160559162,True,True,0.36470588235294116,23.44356637693211,86.0199767433318,1.55,92.92309873672309
TMTM,5,4,0.11334623284741714,0.0015438090598602016,0.0,0.049250415527957433,True,False,0.5507900677200903,72.52152468502186,58.9199767433318,19.900000000000002,1193.012687006961
TMTM,5,3,0.0059324969757754255,0.5155375894108887,0.0,0.5371128295714478,True,True,0.17647058823529413,19.608077106238746,20.319976743331797,0.45,26.977673826790575
TMTM,5,7,0.01317333299616994,,,,False,True,,19.039176783791405,20.619976743331797,0.1,5.995038628175683
TMTM,5,8,0.08128111581192053,,,,False,True,,78.77371064076226,69.0199767433318,0.2,11.990077256351366
TMTM,6,9,0.3499752744174037,,,,False,True,,77.06700967342024,35.0699767433318,0.05,2.9975193140878416
