t,current,previous,track,iou,boundary
1,26,25,1,0.6041666666666666,True
1,1009,1009,2,0.5714285714285714,False
1,1960,2058,3,0.3409090909090909,True
1,2181,2229,4,0.8878923766816144,True
2,28,26,1,0.6470588235294118,True
2,1010,1009,2,0.5588235294117647,False
2,1841,2181,4,0.8676122931442081,True
2,1960,1960,3,0.41509433962264153,True
3,29,28,1,0.5,True
3,1011,1010,2,0.6590909090909091,False
3,1793,1841,4,0.9166666666666666,True
3,1960,1960,3,0.5916666666666667,True
4,178,29,1,0.08333333333333333,True
4,1112,1011,2,0.08888888888888889,False
4,1744,1793,4,0.7916666666666666,True
4,1960,1960,3,0.36470588235294116,True
5,1695,1744,4,0.5507900677200903,True
5,2058,1960,3,0.17647058823529413,True
6,1646,1695,4,0.2185929648241206,False
6,2352,2058,3,0.08490566037735849,True
6,2387,2387,8,0.4,True
7,1548,1646,4,0.4835164835164835,False
7,2352,2352,3,0.8373983739837398,True
7,2388,2387,8,0.4166666666666667,True
8,1221,1217,14,0.22340425531914893,True
8,1450,1548,4,0.22916666666666666,False
8,2352,2352,3,0.821917808219178,True
8,2388,2388,8,0.43636363636363634,True
9,1009,1007,15,0.2153846153846154,False
9,1273,1221,14,0.5612244897959183,True
9,2352,2352,3,0.45482866043613707,True
10,1011,1009,15,0.44982698961937717,False
10,1371,1273,14,0.5492957746478874,True
10,2352,2352,3,0.784841075794621,True
11,1013,1011,15,0.46537842190016104,True
11,1371,1371,14,0.30952380952380953,True
11,2352,2352,3,0.8450413223140496,True
12,1162,1013,15,0.4090909090909091,True
12,2352,2352,3,0.9486166007905138,True
13,762,1162,15,0.06324110671936758,True
13,2352,2352,3,0.9426386233269598,True
14,564,762,15,0.27906976744186046,True
14,1311,1261,16,0.037037037037037035,False
14,2356,2352,3,0.9709864603481625,True
15,564,564,15,0.5747899159663865,True
15,2355,2356,3,0.9689320388349515,True
16,713,564,15,0.7357859531772575,True
16,1555,1409,18,0.023809523809523808,False
16,2357,2355,3,0.9496124031007752,True
17,811,713,15,0.3438202247191011,True
17,930,974,19,0.3958333333333333,True
17,1602,1555,18,0.3835616438356164,False
17,2359,2357,3,0.9475728155339805,True
18,862,811,15,0.7692307692307693,False
18,930,930,19,0.34146341463414637,True
18,1600,1602,18,0.3220338983050847,False
18,2362,2359,3,0.9262759924385633,True
19,862,862,15,0.4435695538057743,True
19,1599,1600,18,0.38095238095238093,False
19,2366,2362,3,0.9343339587242027,True
20,813,862,15,0.6422976501305483,True
20,1647,1599,18,0.1,False
20,2367,2366,3,0.02895752895752896,True
21,765,813,15,0.7761194029850746,False
21,2166,2162,22,0.2,False
22,816,765,15,0.7116788321167883,False
22,2058,2058,23,0.35,True
22,2168,2166,22,0.4583333333333333,False
23,0,0,24,0.3,True
23,15,16,25,0.09090909090909091,True
23,818,816,15,0.6983050847457627,False
23,2009,2058,23,0.5652173913043478,True
23,2169,2168,22,0.7368421052631579,False
24,0,0,24,0.6,True
24,13,15,25,0.3333333333333333,True
24,870,818,15,0.5984455958549223,True
24,2009,2009,23,0.47058823529411764,True
24,2169,2169,22,0.3953488372093023,False
25,0,0,24,0.5,True
25,12,13,25,0.40425531914893614,True
25,970,870,15,0.6859344894026975,True
25,2013,2009,23,0.3333333333333333,True
25,2169,2169,22,0.84,True
26,0,0,24,0.9230769230769231,True
26,12,12,25,0.9473684210526315,True
26,1021,970,15,0.8538205980066446,True
26,2168,2169,22,0.06630581867388363,True
27,0,0,24,0.8666666666666667,True
27,11,12,25,0.7222222222222222,True
27,1071,1021,15,0.9594155844155844,True
27,2118,2168,22,0.9364675984752223,True
28,0,0,24,0.07389162561576355,True
28,1073,1071,15,0.0016420361247947454,True
28,2118,2118,22,0.033121019108280254,True
29,0,0,24,0.7241379310344828,True
29,1123,1025,28,0.001644736842105263,True
29,2119,2118,22,0.07692307692307693,False
29,2372,2373,29,0.3684210526315789,True
30,0,0,24,0.8378378378378378,True
30,1077,1123,28,0.9545454545454546,True
30,2372,2372,29,0.021939953810623556,True
31,0,0,24,0.64,True
31,1028,1077,28,0.8137535816618912,True
31,2372,2372,29,0.009237875288683603,True
32,0,0,24,0.4625,True
32,1077,1028,28,0.05970149253731343,True
32,2172,2372,29,0.028070175438596492,True
33,0,0,24,0.8918918918918919,True
33,489,538,32,0.5483870967741935,True
33,1077,1077,28,0.85,True
33,1519,1470,33,0.14102564102564102,True
33,2224,2172,29,0.7118055555555556,True
34,0,0,24,0.7575757575757576,True
34,27,27,34,0.23529411764705882,True
34,489,489,32,0.7045454545454546,True
34,1028,1077,28,0.2647058823529412,True
34,1621,1519,33,0.5777777777777777,True
34,2276,2224,29,0.7802690582959642,True
35,26,27,34,0.47368421052631576,True
35,147,0,24,0.625,True
35,440,489,32,0.6197183098591549,True
35,1028,1028,28,0.8888888888888888,True
35,1722,1621,33,0.6416184971098265,True
35,2376,2276,29,0.7098445595854922,True
36,26,26,34,0.5,True
36,245,147,24,0.46511627906976744,True
36,342,440,32,0.6796116504854369,True
36,979,1028,28,0.625,True
36,1773,1722,33,0.5714285714285714,True
36,2377,2376,29,0.5673758865248227,True
37,25,26,34,0.7857142857142857,True
37,98,245,24,0.7107438016528925,True
37,342,342,32,0.684931506849315,True
37,1874,1773,33,0.5654761904761905,True
37,2377,2377,29,0.425,True
38,0,98,24,0.9022556390977443,True
38,25,25,34,0.8666666666666667,True
38,146,342,32,0.9583333333333334,True
38,1975,1874,33,0.5302013422818792,False
38,2377,2377,29,0.20588235294117646,True
39,0,0,24,0.7575757575757576,True
39,15,14,35,0.18181818181818182,True
39,25,25,34,0.4642857142857143,True
39,146,146,32,0.7898550724637681,True
39,2027,1975,33,0.24113475177304963,True
40,0,0,24,0.56,True
40,25,25,34,0.29545454545454547,True
40,48,146,32,0.9174311926605505,True
40,1568,1666,36,0.06451612903225806,True
40,2128,2027,33,0.8059360730593608,True
41,0,0,24,0.08928571428571429,True
41,25,25,34,0.8627450980392157,True
41,48,48,32,0.93,True
41,1572,1568,36,0.33695652173913043,True
41,2180,2128,33,0.8209718670076727,True
42,25,25,34,0.8793103448275862,True
42,48,48,32,0.8921568627450981,True
42,1675,1572,36,0.6041666666666666,True
42,2330,2180,33,0.8174386920980926,True
43,25,25,34,0.6896551724137931,True
43,48,48,32,0.85,True
43,1175,1224,37,0.5172413793103449,True
43,1726,1675,36,0.5705882352941176,True
43,2381,2330,33,0.8079268292682927,True
44,0,245,38,0.3076923076923077,True
44,25,25,34,0.547945205479452,True
44,48,48,32,0.9176470588235294,True
44,1126,1175,37,0.2222222222222222,True
44,1828,1726,36,0.302158273381295,False
44,2387,2381,33,0.7518518518518519,True
45,0,0,38,0.4838709677419355,True
45,25,25,34,0.8780487804878049,True
45,44,48,32,0.782051282051282,True
45,2380,2387,33,0.3644524236983842,True
46,0,0,38,0.34615384615384615,True
46,25,25,34,0.9204545454545454,True
46,48,44,32,0.8461538461538461,True
46,1962,1960,39,0.2727272727272727,True
46,2381,2380,33,0.43010752688172044,True
47,25,25,34,0.8409090909090909,True
47,46,48,32,0.3898305084745763,True
47,1733,1631,40,0.09090909090909091,False
47,2013,1962,39,0.375,True
47,2383,2381,33,0.8132295719844358,True
48,26,25,34,0.6727272727272727,True
48,42,46,32,0.17391304347826086,True
48,2064,2013,39,0.3333333333333333,True
48,2385,2383,33,0.5269320843091335,True
49,41,42,32,0.5,True
49,173,26,34,0.832,True
49,979,1077,42,0.34210526315789475,True
49,1862,2064,39,0.18604651162790697,True
49,2386,2385,33,0.8253968253968254,True
50,44,41,32,0.07692307692307693,True
50,173,173,34,0.8739495798319328,True
50,504,748,43,0.02040816326530612,False
50,1862,1862,39,0.5342465753424658,True
