scene,mode,weight,temporal_lambda,t,topology_equal
hierarchy_change,base,uniform,0.0,0,True
hierarchy_change,base,uniform,0.0,1,True
hierarchy_change,base,uniform,0.0,2,True
hierarchy_change,base,uniform,0.0,3,True
hierarchy_change,base,uniform,0.0,4,True
hierarchy_change,base,uniform,0.0,5,True
hierarchy_change,base,uniform,0.0,6,True
hierarchy_change,base,uniform,0.0,7,True
hierarchy_change,base,uniform,0.0,8,True
hierarchy_change,base,uniform,0.0,9,True
hierarchy_change,base,uniform,0.0,10,True
hierarchy_change,base,uniform,0.0,11,True
hierarchy_change,base,uniform,0.0,12,True
hierarchy_change,base,uniform,0.0,13,True
hierarchy_change,base,uniform,0.0,14,True
hierarchy_change,base,uniform,0.0,15,True
hierarchy_change,base,uniform,0.0,16,True
hierarchy_change,base,uniform,0.0,17,True
hierarchy_change,base,uniform,0.0,18,True
hierarchy_change,base,uniform,0.0,19,True
hierarchy_change,base,uniform,0.0,20,True
hierarchy_change,temporal,uniform,2.0,0,True
hierarchy_change,temporal,uniform,2.0,1,True
hierarchy_change,temporal,uniform,2.0,2,True
hierarchy_change,temporal,uniform,2.0,3,True
hierarchy_change,temporal,uniform,2.0,4,True
hierarchy_change,temporal,uniform,2.0,5,True
hierarchy_change,temporal,uniform,2.0,6,True
hierarchy_change,temporal,uniform,2.0,7,True
hierarchy_change,temporal,uniform,2.0,8,True
hierarchy_change,temporal,uniform,2.0,9,True
hierarchy_change,temporal,uniform,2.0,10,True
hierarchy_change,temporal,uniform,2.0,11,True
hierarchy_change,temporal,uniform,2.0,12,True
hierarchy_change,temporal,uniform,2.0,13,True
hierarchy_change,temporal,uniform,2.0,14,True
hierarchy_change,temporal,uniform,2.0,15,True
hierarchy_change,temporal,uniform,2.0,16,True
hierarchy_change,temporal,uniform,2.0,17,True
hierarchy_change,temporal,uniform,2.0,18,True
hierarchy_change,temporal,uniform,2.0,19,True
hierarchy_change,temporal,uniform,2.0,20,True
hierarchy_change,temporal,inverse,0.5,0,True
hierarchy_change,temporal,inverse,0.5,1,True
hierarchy_change,temporal,inverse,0.5,2,True
hierarchy_change,temporal,inverse,0.5,3,True
hierarchy_change,temporal,inverse,0.5,4,True
hierarchy_change,temporal,inverse,0.5,5,True
hierarchy_change,temporal,inverse,0.5,6,True
hierarchy_change,temporal,inverse,0.5,7,True
hierarchy_change,temporal,inverse,0.5,8,True
hierarchy_change,temporal,inverse,0.5,9,True
hierarchy_change,temporal,inverse,0.5,10,True
hierarchy_change,temporal,inverse,0.5,11,True
hierarchy_change,temporal,inverse,0.5,12,True
hierarchy_change,temporal,inverse,0.5,13,True
