scene,t,hierarchy_legal,nonoverlap,inside_canvas
hierarchy_change,0,False,False,True
hierarchy_change,1,False,False,True
hierarchy_change,2,True,False,True
hierarchy_change,3,True,False,True
hierarchy_change,4,True,False,True
hierarchy_change,5,True,False,True
hierarchy_change,6,True,False,True
hierarchy_change,7,True,False,True
hierarchy_change,8,True,False,True
hierarchy_change,9,True,False,True
hierarchy_change,10,True,False,True
hierarchy_change,11,True,False,True
hierarchy_change,12,True,False,True
hierarchy_change,13,True,False,True
hierarchy_change,14,True,True,True
hierarchy_change,15,True,True,True
hierarchy_change,16,True,True,True
hierarchy_change,17,True,True,True
hierarchy_change,18,True,True,True
hierarchy_change,19,True,True,True
hierarchy_change,20,True,True,True
crowding,0,True,False,True
crowding,1,True,True,True
crowding,2,True,False,True
crowding,3,True,False,True
crowding,4,True,False,True
crowding,5,True,False,True
crowding,6,True,False,True
crowding,7,True,False,True
crowding,8,True,False,True
crowding,9,True,False,True
crowding,10,True,False,True
crowding,11,True,False,True
crowding,12,True,False,True
crowding,13,True,False,True
crowding,14,True,False,True
crowding,15,True,False,True
crowding,16,True,False,True
crowding,17,True,False,True
crowding,18,True,False,True
crowding,19,True,False,True
crowding,20,True,False,True
advection_diffusion,0,False,False,True
advection_diffusion,1,False,False,True
advection_diffusion,2,False,False,True
advection_diffusion,3,False,False,True
advection_diffusion,4,False,False,True
advection_diffusion,5,False,False,True
advection_diffusion,6,False,False,True
advection_diffusion,7,False,False,True
advection_diffusion,8,False,False,True
advection_diffusion,9,False,False,True
advection_diffusion,10,False,False,True
advection_diffusion,11,False,False,True
advection_diffusion,12,False,False,True
advection_diffusion,13,False,False,True
advection_diffusion,14,False,False,True
advection_diffusion,15,False,False,True
advection_diffusion,16,False,False,True
advection_diffusion,17,False,False,True
advection_diffusion,18,False,False,True
advection_diffusion,19,False,False,True
advection_diffusion,20,False,False,True
