family,baseline,metric,realizations,median_difference,min_difference,max_difference,ra_better,ties
hierarchy_change,TMTM,reference_nmae,3,-0.12146483038444623,-0.2915398725419654,-0.11869182850743609,3,0
hierarchy_change,TMTM,trajectory_nmae,3,-0.06291652111627333,-0.0859394915475294,-0.05409071355799801,3,0
hierarchy_change,TMTM,growth_log_mae,3,2.0816681711721673e-18,-1.864827736675067e-17,2.203098814490545e-17,0,3
hierarchy_change,TMTM,distance_nrmse,3,-0.37336340416195996,-0.3767076874928909,-0.3721185892381422,3,0
hierarchy_change,ST-MTM,reference_nmae,3,-0.06571093249092631,-0.06993417156406621,-0.06211658615197695,3,0
hierarchy_change,ST-MTM,trajectory_nmae,3,-0.02278727242876917,-0.06743459717116658,-0.016386513439451467,3,0
hierarchy_change,ST-MTM,growth_log_mae,3,-0.6101838549796226,-0.6254464035944589,-0.5906210896801296,3,0
hierarchy_change,ST-MTM,distance_nrmse,3,0.04497807900340575,0.03844536987595165,0.05358507779787891,0,0
crowding,TMTM,reference_nmae,3,-0.024637270809617935,-0.024872448621340502,-0.023405205362914468,3,0
crowding,TMTM,trajectory_nmae,3,-0.03028879731127,-0.030608397255479442,-0.03002694784776809,3,0
crowding,TMTM,growth_log_mae,3,-8.876001785414664e-18,-1.4080172213345085e-17,1.237436079530123e-17,0,3
crowding,TMTM,distance_nrmse,3,-0.03823844120297082,-0.042350446586103985,-0.033926600158796116,3,0
crowding,ST-MTM,reference_nmae,3,-0.15892357309534888,-0.16028978011544956,-0.15404741518898105,3,0
crowding,ST-MTM,trajectory_nmae,3,-0.030224736646994366,-0.031042425033257194,-0.0300836205435932,3,0
crowding,ST-MTM,growth_log_mae,3,-0.03349480840245436,-0.04134337973631796,-0.026066828781207158,3,0
crowding,ST-MTM,distance_nrmse,3,0.7236682411963309,0.7210586716447882,0.7254193932096963,0,0
advection_diffusion,TMTM,reference_nmae,3,-0.1502080520587294,-0.15523942054686127,-0.08109943872563896,3,0
advection_diffusion,TMTM,trajectory_nmae,3,-0.032054861224223075,-0.032847332906235316,-0.030464516235084546,3,0
advection_diffusion,TMTM,growth_log_mae,3,-1.711413129268369e-17,-2.2461958508468433e-17,6.505213034912657e-20,0,3
advection_diffusion,TMTM,distance_nrmse,3,-0.17409637393434596,-0.19277563070165443,-0.17050056794971769,3,0
advection_diffusion,ST-MTM,reference_nmae,3,-0.04312673140239982,-0.09545379466131276,-0.042563427309241175,3,0
advection_diffusion,ST-MTM,trajectory_nmae,3,-0.03371736131532617,-0.0341737059211928,-0.033444511500236106,3,0
advection_diffusion,ST-MTM,growth_log_mae,3,-0.016961054356089494,-0.032527929717725716,-0.014481301705460229,3,0
advection_diffusion,ST-MTM,distance_nrmse,3,0.03002938186933929,0.019384596184328085,0.03118203764805988,0,0
