t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
0,0,0.34127563783487164,,,,False,True,,104.46153846153852,32.79365451621548,104.46428571428572,43875.0
1,0,0.3412756378348716,6.767073673905717e-17,0.0,6.767073673905717e-17,True,True,1.0,104.46153846153852,32.7936545162155,104.46428571428572,43875.0
2,0,0.34127563783487147,3.3835368369528583e-17,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,32.793654516215476,104.46428571428572,43875.0
3,0,0.34127563783487136,1.691768418476429e-16,0.0,2.7068294695622867e-16,True,True,1.0,104.46153846153848,32.7936545162155,104.46428571428572,43875.0
4,0,0.34127563783487147,1.691768418476429e-16,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,32.793654516215476,104.46428571428572,43875.0
5,0,0.3412756378348714,1.0150610510858574e-16,0.0,2.0301221021717148e-16,True,True,1.0,104.4615384615385,32.7936545162155,104.46428571428572,43875.0
6,0,0.34127563783487147,1.0150610510858574e-16,0.0,1.3534147347811433e-16,True,True,1.0,104.4615384615385,32.793654516215476,104.46428571428572,43875.0
7,0,0.4165264739552728,0.07525083612040129,0.0,0.07525083612040118,True,True,1.0,104.4615384615385,16.990978930931206,104.46428571428572,43875.0
8,0,7.65153613960208e-06,0.41653412549141244,0.0,0.3412832893710112,True,False,0.010256410256410256,16.153846153846153,16.15545297643547,1.0714285714285716,450.0
8,1,2.550828204509311e-06,,,,False,False,,48.46153846153846,48.46207413546141,1.0714285714285716,450.0
9,0,0.019486685074392152,0.019494336610531755,1.6653345369377348e-16,0.3217889527604795,True,False,0.6666666666666666,21.538461538461537,17.446257672839184,1.6071428571428572,675.0
9,1,0.01948746987164943,0.019484919043444918,1.6653345369377348e-16,0.019484919043444918,True,False,0.6666666666666666,43.07692307692307,47.16929174996945,1.6071428571428572,675.0
10,0,0.016947284718513547,0.002539400355878605,1.6653345369377348e-16,0.3243283531163581,True,False,0.75,20.192307692307693,16.63337790141985,2.1428571428571432,900.0
10,1,0.023250104549212905,0.003762634677563475,0.0,0.023247553721008393,True,False,1.0,43.07692307692307,47.95944503225778,1.6071428571428572,675.0
11,0,0.008333333333333333,0.008613951385180214,0.0,0.3329423045015383,True,False,0.25,16.153846153846153,14.403846153846153,0.5357142857142858,225.0
11,1,0.033194660063808765,0.00994455551459586,0.0,0.033192109235604256,True,False,1.0,43.07692307692307,50.04780169032291,1.6071428571428572,675.0
11,2,0.0015095739689251497,,,,False,False,,32.30769230769231,32.62470284116659,0.5357142857142858,225.0
12,1,0.008814102564102573,0.04200876262791133,1.6653345369377348e-16,0.008816653392307082,True,False,0.75,36.34615384615385,34.49519230769231,2.1428571428571432,900.0
12,2,0.028044871794871792,0.026535297825946644,0.0,0.026535297825946644,True,False,0.5,24.23076923076923,30.120192307692307,1.0714285714285716,450.0
13,1,0.008814102564102573,0.0,0.0,0.008816653392307082,True,False,0.6,36.34615384615385,34.49519230769231,2.1428571428571432,900.0
13,2,0.010416666666666666,0.038461538461538464,1.6653345369377348e-16,0.011926240635591816,True,False,0.6666666666666666,32.30769230769231,30.120192307692307,1.6071428571428572,675.0
14,1,0.10657051282051283,0.09775641025641026,0.0,0.10657306364871734,True,False,1.0,36.34615384615385,13.966346153846153,2.1428571428571432,900.0
14,2,0.010416666666666666,0.020833333333333332,2.220446049250313e-16,0.008907092697741517,True,False,0.3333333333333333,16.153846153846153,18.341346153846153,0.5357142857142858,225.0
14,3,0.010416666666666666,,,,False,False,,48.46153846153846,50.64903846153846,0.5357142857142858,225.0
15,1,0.08121027592219911,0.18778078874271195,0.0,0.0812077250939946,True,False,0.25,16.153846153846153,33.20800409750797,0.5357142857142858,225.0
15,4,0.019554921933094757,,,,False,False,,48.46153846153846,52.56807206748836,0.5357142857142858,225.0
15,5,0.01852091473151753,,,,False,False,,64.61538461538461,68.5047767090033,0.5357142857142858,225.0
15,2,0.024761966260883582,0.01434529959421692,2.220446049250313e-16,0.023252392291958433,True,True,0.3333333333333333,5.384615384615384,10.584628299400936,1.6071428571428572,675.0
15,3,0.07680254459062143,0.0872192112572881,0.0,0.0872192112572881,True,False,1.0,48.46153846153846,32.33300409750796,0.5357142857142858,225.0
16,1,0.07157623610375867,0.009634039818440446,0.0,0.07157368527555416,True,False,1.0,16.153846153846153,31.184855735635473,0.5357142857142858,225.0
16,4,0.013748923727517423,0.0058059982055773335,0.0,0.0058059982055773335,True,False,1.0,48.46153846153846,51.34881244431712,0.5357142857142858,225.0
16,2,0.02564102564102564,0.05040299190190922,0.0,0.02715059960995079,True,True,1.0,5.384615384615384,2.1771664368169488e-16,1.6071428571428572,675.0
16,5,0.012715060602513024,0.005805854129004507,0.0,0.005805854129004507,True,False,1.0,64.61538461538461,67.28554734191235,0.5357142857142858,225.0
16,3,0.08643658440906184,0.009634039818440413,0.0,0.09685325107572851,True,False,1.0,48.46153846153846,30.309855735635473,0.5357142857142858,225.0
17,1,0.008539811462870413,0.06303642464088825,0.0,0.008537260634665905,True,False,1.0,16.153846153846153,17.94720656104894,0.5357142857142858,225.0
17,2,0.019230769230769232,0.006410256410256407,1.6653345369377348e-16,0.02074034319969438,True,True,0.75,4.038461538461538,3.8822277239957967e-17,2.1428571428571432,900.0
17,4,0.014196741496208176,0.00044781776869075296,0.0,0.0053581804368865804,True,True,0.25,52.5,55.48131571420372,2.1428571428571432,900.0
17,3,0.03759417739364408,0.12403076180270592,0.0,0.027177510726977414,True,False,1.0,48.46153846153846,56.35631571420372,0.5357142857142858,225.0
18,2,0.015384615384615385,0.003846153846153845,0.0,0.016894189353540534,True,True,0.5,3.230769230769231,0.0,2.678571428571429,1125.0
18,4,0.06602564102564101,0.05182889952943284,0.0,0.046470719092546256,True,True,1.0,52.5,66.36538461538461,2.1428571428571432,900.0
18,3,0.0019416962245932113,0.039535873618237294,0.0,0.012358362891259878,True,False,1.0,48.46153846153846,48.053782254373886,0.5357142857142858,225.0
18,6,0.006145094301553892,,,,False,False,,32.30769230769231,31.01722250436599,0.5357142857142858,225.0
19,7,0.05351255886970172,,,,False,True,,24.23076923076923,35.46840659340659,1.0714285714285716,450.0
19,2,0.006717687074829935,0.02210230245944532,0.0,0.005208113105904785,True,True,0.4,0.0,1.4107142857142863,1.0714285714285716,450.0
19,4,0.015051020408163295,0.05097462061747772,0.0,0.004503901524931462,True,False,0.3333333333333333,64.61538461538461,67.7760989010989,2.1428571428571432,900.0
19,8,1.3747207454403685e-18,,,,False,True,,0.0,2.886913565424774e-16,0.5357142857142858,225.0
19,6,0.01505102040816326,0.008905926106609369,0.0,0.008905926106609369,True,False,1.0,32.30769230769231,29.146978021978022,0.5357142857142858,225.0
20,7,0.05606357927786498,0.0025510204081632603,0.0,0.0025510204081632603,True,True,1.0,24.23076923076923,36.004120879120876,1.0714285714285716,450.0
20,2,0.0,0.006717687074829935,0.0,0.0015095739689251497,True,True,1.0,0.0,0.0,1.0714285714285716,450.0
20,4,0.01760204081632652,0.0025510204081632265,0.0,0.0019528811167682358,True,False,0.5,64.61538461538461,68.31181318681318,1.0714285714285716,450.0
20,8,0.009268707482993186,0.009268707482993185,0.0,0.009268707482993185,True,True,1.0,0.0,1.9464285714285692,0.5357142857142858,225.0
20,9,0.007791635063833607,,,,False,False,,64.61538461538461,66.25162797878967,0.5357142857142858,225.0
20,6,0.017602040816326537,0.0025510204081632772,0.0,0.011456946514772645,True,False,1.0,32.30769230769231,28.611263736263734,0.5357142857142858,225.0
21,7,0.04869123875494038,0.0073723405229246045,0.0,0.004821320114761344,True,True,1.0,24.23076923076923,34.45592936930671,1.0714285714285716,450.0
21,2,0.0,0.0,0.0,0.0015095739689251497,True,True,1.0,0.0,0.0,1.0714285714285716,450.0
21,4,0.0029418446183368152,0.014660196197989705,0.0,0.016613077314757942,True,False,0.5,64.61538461538461,65.23317198523534,0.5357142857142858,225.0
21,9,0.010416666666666666,0.0026250316028330594,0.0,0.0026250316028330594,True,False,1.0,64.61538461538461,66.80288461538461,0.5357142857142858,225.0
21,8,0.028044871794871792,0.018776164311878604,0.0,0.028044871794871792,True,True,0.25,24.23076923076923,30.120192307692307,2.1428571428571432,900.0
22,7,0.05327519970940495,0.0045839609544645705,0.0,0.0002373591602967737,True,True,0.5,16.153846153846153,27.341638092821192,0.5357142857142858,225.0
22,2,0.10913461538461539,0.10913461538461539,0.0,0.10762504141569024,True,True,0.5,0.0,22.91826923076923,0.5357142857142858,225.0
22,4,0.04537202492033897,0.04243018030200215,0.0,0.02581710298724421,True,True,0.5,56.53846153846153,66.06658677173272,1.0714285714285716,450.0
22,9,0.0332579791844932,0.02284131251782653,0.0,0.025466344120659592,True,False,1.0,64.61538461538461,71.59956024412818,0.5357142857142858,225.0
