t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,0,0,0.34127563783487164,,,,0.0,0.0,0.0,0.0,1,0
1,1,0,0.3412756378348716,6.767073673905717e-17,0.0,6.767073673905717e-17,0.0,0.0,0.0,0.0,1,1
2,2,0,0.34127563783487147,3.3835368369528583e-17,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
3,3,0,0.34127563783487136,1.691768418476429e-16,0.0,2.7068294695622867e-16,0.0,0.0,0.0,0.0,1,1
4,4,0,0.34127563783487147,1.691768418476429e-16,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
5,5,0,0.3412756378348714,1.0150610510858574e-16,0.0,2.0301221021717148e-16,0.0,0.0,0.0,0.0,1,1
6,6,0,0.34127563783487147,1.0150610510858574e-16,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
7,7,0,0.4165264739552728,0.07525083612040129,0.0,0.07525083612040118,0.0,0.0,0.0,0.0,1,1
8,8,0,5.1011821720556955e-06,0.41653412549141244,0.0,0.3412832893710112,0.0,1.1473594654651185e-06,1043.7869822485206,0.0,2,1
9,9,0,0.01948707747302079,0.019489627826988334,1.6653345369377348e-16,0.1706369359019622,0.0,7.839760064534548,724.8520710059167,0.0,2,2
10,10,0,0.020098694633863226,0.00315101751672104,8.326672684688674e-17,0.17378795341868325,0.0,0.6506818639172335,931.4349112426032,0.0,2,2
11,11,0,0.014345855788689082,0.009279253449888038,0.0,0.18306720686857125,0.0,673.1024109124583,3189.3491124260345,0.0,3,2
12,12,0,0.018429487179487183,0.034272030226928984,8.326672684688674e-17,0.017675975609126864,0.0,1151.734230293171,1467.8254437869825,0.4375,2,2
13,13,0,0.00961538461538462,0.019230769230769232,8.326672684688674e-17,0.010371447013949448,0.0,1618.554735505827,1989.718934911242,0.4375,2,2
14,14,0,0.04246794871794873,0.05929487179487179,1.1102230246251565e-16,0.05774007817322943,0.0,2060.9696889945612,5545.118343195266,0.4375,3,2
15,15,0,0.04417012468766328,0.09644843319807232,7.401486830834377e-17,0.06389310954774705,0.0,6228.659164992861,21687.573964497038,16.591346153846153,5,3
16,16,0,0.042023566096775315,0.01625658477467438,0.0,0.041437877659163055,0.0,5613.735639922699,21687.573964497038,16.591346153846153,5,5
17,17,0,0.019890374895872975,0.048481315155635335,4.163336342344337e-17,0.015453323749556071,0.0,2491.8942752035528,13161.50147928994,8.514423076923073,4,4
18,18,0,0.022374261734100877,0.031736975664607994,0.0,0.025241090445782224,0.0,1939.9053176222985,14111.347633136094,0.0,4,3
19,19,0,0.018066457352171644,0.0273276163945108,0.0,0.006205980245815206,0.0,10480.828373890396,34836.39053254438,1.4107142857142858,5,3
20,20,0,0.018054667242890805,0.004727891156462577,0.0,0.005347825898324495,0.0,14224.259899642468,54864.053254437866,1.9464285714285716,6,5
21,21,0,0.01801892436696313,0.008686746527125195,0.0,0.010722774959229858,0.0,11830.88471716312,37576.331360946744,0.4375,5,5
22,22,0,0.07071775139516075,0.05290006961492207,0.0,0.04332225096094415,0.0,26695.928520685437,63279.58579881657,24.66826923076923,6,5
23,23,0,0.0738459517770087,0.12118600976581419,0.0,0.09365203505867953,0.0,25392.455233243367,87417.1597633136,32.74519230769231,7,6
24,24,0,0.07417082855210948,0.16032443895861964,0.0,0.08857415857705336,0.0,25837.235086948942,68433.28402366863,24.668269230769234,6,6
25,25,0,0.04663513693993994,0.10808535481697497,7.771561172376095e-17,0.07632492147234786,0.0,14789.046528713781,51942.89940828403,8.514423076923073,5,5
26,26,0,0.018448858434430015,0.05718259485368302,1.1102230246251565e-16,0.05711151642347023,0.0,25062.338303804878,85851.47928994083,1.9464285714285716,6,5
27,27,0,0.017858780284330616,0.00705151797854009,0.0,0.049600063890736984,4.440892098500626e-16,25291.555664709613,87743.3431952663,1.9464285714285716,6,6
28,28,0,0.029998672679964374,0.022715289814517974,8.881784197001253e-17,0.07568972662252116,0.0,14380.563329019713,56042.08284023669,0.4375,5,5
29,29,0,0.026670607305005534,0.01952699495780884,0.0,0.06395481425416469,0.0,12471.390023999256,56042.08284023669,0.4375,5,5
30,30,0,0.014943938965885193,0.010547173741038267,3.3306690738754695e-17,0.05387881679716764,0.0,21138.77782388551,83013.68343195264,0.4375,6,5
31,31,0,0.014187797996986141,0.0069252135238482325,0.0,0.04961146764711073,0.0,20822.863579602563,95571.74556213016,0.4375,6,5
32,32,0,0.0264796452115271,0.014337885643239285,0.0,0.04884448748736,0.0,24350.65440625972,104965.82840236687,1.9464285714285718,6,6
33,33,0,0.022164442700156984,0.011268368393107435,2.7755575615628914e-17,0.04641253532998329,4.440892098500626e-16,27114.19447644858,106531.50887573964,1.9464285714285718,6,6
34,34,0,0.01754215462366048,0.006368327160972412,0.0,0.04582769660921838,0.0,40549.33496063528,153828.10650887573,1.9464285714285716,7,6
35,35,0,0.0187957167294989,0.012175950333618318,0.0,0.05227469564930009,0.0,22311.703321234272,103869.85207100591,1.9464285714285716,6,6
36,36,0,0.018411766159008677,0.014181548896853247,0.0,0.060934073470082784,0.0,18223.43934920438,99916.50887573963,0.4375,6,5
37,37,0,0.02859080087319422,0.007126444029149711,0.0,0.038074360155537244,0.0,15873.646349568375,79854.92307692306,0.4375,5,5
38,38,0,0.01171766896199692,0.018476475722117074,3.3306690738754695e-17,0.023171251728797745,0.0,29092.82753068334,120687.8698224852,0.4375,6,5
39,39,0,0.01642503662615239,0.005868769867929863,2.7755575615628914e-17,0.02517814630859465,0.0,35956.80837752197,173529.58579881652,0.4375,7,6
