t,date,block,reference_nmae,motion_step_nmae,growth_step_log_mae,trajectory_nmae,total_growth_log_error,geometry_sse,geometry_den,tau,n,matched
0,0,0,0.0,,,,0.0,0.0,0.0,0.0,1,0
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,2,0,1.3534147347811433e-16,1.3534147347811433e-16,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
3,3,0,2.0301221021717148e-16,6.767073673905717e-17,0.0,2.0301221021717148e-16,0.0,0.0,0.0,0.0,1,1
4,4,0,1.3534147347811433e-16,6.767073673905717e-17,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
5,5,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
6,6,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
7,7,0,1.3534147347811433e-16,0.0,0.0,1.3534147347811433e-16,0.0,0.0,0.0,0.0,1,1
8,8,0,0.42051282051282085,0.4205128205128207,3.886705197443856,0.42051282051282085,3.886705197443856,0.0,1043.7869822485206,0.0,2,1
9,9,0,0.4205128205128208,0.01831501831501831,0.4054651081081644,0.2102564102564104,3.481240089335692,5.32544378698226,724.8520710059167,0.0,2,2
10,10,0,0.423717948717949,0.0032051282051281643,0.15415067982722866,0.21346153846153856,3.3270894095084618,0.3050113184567878,931.4349112426032,0.0,2,2
11,11,0,0.37336427669729155,0.029785261471224716,0.33647223662117387,0.22317851717960663,3.6635616461296463,307.0297357862782,3189.3491124260345,0.0,3,2
12,12,0,0.37217510517407537,0.035256410256410284,0.1823215567939167,0.03520561320507591,3.4812400893357203,10.397539961135967,1467.8254437869825,0.0,2,2
13,13,0,0.3529443359433061,0.02340700578699713,0.15415067982731517,0.01597484397430667,3.327089409508405,1.7305784397328874,1989.718934911242,0.0,2,2
14,14,0,0.34524640565166703,0.03846153846153842,0.15415067982727254,0.05443638243584508,3.481240089335692,330.5048107399683,5545.118343195266,0.0,3,2
15,15,0,0.3609318533554625,0.06348964011166806,0.154150679827192,0.09978056173556477,3.3270894095084618,3938.0921342939673,21687.573964497038,0.0,5,3
16,16,0,0.36093185335546246,0.00465632799980234,0.0,0.061854481683795516,3.3270894095084618,3865.8654552105136,21687.573964497038,0.0,5,5
17,17,0,0.3939859798910644,0.06536601350782126,0.3566749439387714,0.10737422480164345,2.9704144655697013,2461.062623373982,13161.50147928994,0.0,4,4
18,18,0,0.33179670796577315,0.06974672070920605,0.09531017980426336,0.036482826095720254,2.8751042857654046,2152.1586379147366,14111.347633136094,0.0,4,3
19,19,0,0.3731878207999708,0.10064418417781507,0.09531017980423954,0.11895184281925608,2.9704144655696445,5352.681340862265,34836.39053254438,0.0,5,3
20,20,0,0.38772642554701126,0.01071180282185575,0.10536051565791149,0.08208290851340941,3.0757749812275272,10504.830200970315,54864.053254437866,0.0,6,5
21,21,0,0.4109422664271042,0.036917245623290906,0.10536051565773245,0.08238201583276931,2.9704144655697298,7019.630874019003,37576.331360946744,0.0,5,5
22,22,0,0.4524886736113369,0.16366566438188895,0.3566749454914927,0.15166496225906573,3.327089409508419,7475.648802812111,63279.58579881657,0.0,6,5
23,23,0,0.42883640681756857,0.039060205275316784,0.13353139316398557,0.1555213851423428,3.193558016883911,7208.322116052919,87417.1597633136,0.0,7,6
24,24,0,0.4597472672078739,0.02820346554463408,0.11778303565644033,0.15948668055623155,3.075774981227499,4451.872118288043,68433.28402366863,0.0,6,6
25,25,0,0.42300438849317923,0.03469100477181851,0.2876820724517582,0.18941724284681138,2.7880929087757464,3139.236992562393,51942.89940828403,0.0,5,5
26,26,0,0.4827955733806529,0.03820436848432329,0.18232155679397355,0.22762161133113468,2.9704144655697298,6334.091682929785,85851.47928994083,0.0,6,5
27,27,0,0.47638531697039704,0.011814744444063491,0.10536051565765887,0.18531174951580842,3.075774981227442,6716.84587756032,87743.3431952663,0.0,6,6
28,28,0,0.3959617376037774,0.04478269749604141,0.2876820724517661,0.1998227080824454,2.7880929087757322,3224.659762142794,56042.08284023669,0.0,5,5
29,29,0,0.3959617376037775,0.006932694732155213,0.0,0.20033938374040003,2.7880929087757322,3121.3891716299013,56042.08284023669,0.0,5,5
30,30,0,0.43500436856078256,0.01465416155068382,0.1823215567941729,0.2114810679862697,2.970414465569801,4019.3909377060622,83013.68343195264,0.0,6,5
31,31,0,0.37991692822691053,0.022944428972285998,0.10536051565761026,0.23335608389366197,3.075774981227499,6388.850379304095,95571.74556213016,0.0,6,5
32,32,0,0.37991692822691053,0.02805272537235652,0.20067069546206584,0.2198783737020714,2.8751042857654046,7589.69276930759,104965.82840236687,0.0,6,6
33,33,0,0.37991692822691053,0.00984945761903698,5.210646728907401e-14,0.2260946423424066,2.875104285765376,7748.845578389877,106531.50887573964,0.0,6,6
34,34,0,0.44420959979587443,0.021652716644129506,5.210646728907401e-14,0.23967271358846867,2.8751042857653193,10381.630231097863,153828.10650887573,0.0,7,6
35,35,0,0.5100020314153318,0.022648012586610793,5.210646728907401e-14,0.18768901860507112,2.875104285765291,7575.821789603688,103869.85207100591,0.0,6,6
36,36,0,0.3777456748583858,0.04746887104146171,0.08701137698955812,0.12914470456906865,2.788092908775704,5663.104795051048,99916.50887573963,0.0,6,5
37,37,0,0.3737744607105147,0.014676793076597694,6.821210263296962e-14,0.1282077211364059,2.7880929087757607,5206.231235874256,79854.92307692306,0.0,5,5
38,38,0,0.4250114635849653,0.03180736679247269,0.18232155679406392,0.1573703520459157,2.9704144655697724,7155.3046571632585,120687.8698224852,0.0,6,5
39,39,0,0.3811524546860907,0.02713082594873562,0.09531017980451355,0.15711068587366306,2.8751042857653477,11515.277656186974,173529.58579881652,0.0,7,6
