t,features,supernodes,finite_pairs,persistence_threshold,minimum_finite_persistence,canceled_features
0,1,2,0,0.0008014822006225586,,0
1,1,2,0,0.0011451406478881836,,0
2,1,2,0,0.001508405089378357,,0
3,1,2,0,0.001867977499961853,,0
4,1,2,0,0.0021992175579071045,,0
5,1,2,0,0.0024885118007659914,,0
6,1,2,0,0.002712975025177002,,0
7,1,2,0,0.0030290846824645996,,0
8,2,4,1,0.0033939220905303954,0.30748629570007324,0
9,2,4,1,0.003688929319381714,0.7661809921264648,0
10,2,4,1,0.0039988899230957034,0.7700521945953369,0
11,3,6,2,0.004271497249603271,0.0260012149810791,0
12,2,4,1,0.004590717792510987,0.5821380615234375,0
13,2,4,1,0.004892699718475342,0.41571474075317383,0
14,3,6,2,0.0051908564567565915,0.016387462615966797,0
15,5,10,4,0.005489299774169922,0.017717838287353516,0
16,5,10,4,0.005797762393951416,0.013375282287597656,0
17,4,8,3,0.006061220645904541,0.23815488815307617,0
18,4,8,3,0.00639934492111206,0.3507728576660156,0
19,5,10,4,0.0066468825340271,0.4007997512817383,0
20,6,12,5,0.0069999308586120605,0.059877872467041016,0
21,5,10,4,0.007299810886383057,0.2443680763244629,0
22,6,12,5,0.007599924087524414,0.08045482635498047,0
23,7,14,6,0.007899247169494628,0.017325878143310547,0
24,6,12,5,0.0080970458984375,0.017399311065673828,0
25,5,10,4,0.008417243003845215,0.5466818809509277,0
26,6,12,5,0.00879990005493164,0.5045428276062012,0
27,6,12,5,0.009096284866333008,0.27465248107910156,0
28,5,10,4,0.009361704826354981,0.2250967025756836,0
29,5,10,4,0.009699762344360352,0.6979007720947266,0
30,6,12,5,0.009999714851379394,0.06669998168945312,0
31,6,12,5,0.010273083686828614,0.017243385314941406,0
32,6,12,5,0.010496936798095702,0.33675575256347656,0
33,6,12,5,0.010899992942810058,1.0140933990478516,0
34,7,14,6,0.011199899673461914,0.48421669006347656,0
35,6,12,5,0.011477935791015624,0.3973712921142578,0
36,6,12,5,0.011776299476623536,0.09513473510742188,0
37,5,10,4,0.012083942413330079,0.6538152694702148,0
38,6,12,5,0.012399352073669434,0.01674938201904297,0
39,7,14,6,0.01269968318939209,0.017248153686523438,0
