t,method,features,SNS,TW,TW_k1,TD
0,TMTM,1,0.0,,,0.0
1,TMTM,1,0.0,,,0.0
2,TMTM,1,0.0,,,0.0
3,TMTM,1,0.0,,,0.0
4,TMTM,1,0.0,,,0.0
5,TMTM,1,0.0,,,0.0
6,TMTM,1,0.0,,,0.0
7,TMTM,1,0.0,,,0.0
8,TMTM,2,0.0,,,2.153846153846146
9,TMTM,2,0.0,,,1.0769230769230802
10,TMTM,2,0.0,,,1.0769230769230802
11,TMTM,3,0.23349021774028678,,0.0,1.0769230769230802
12,TMTM,2,0.0,,,2.1538461538461604
13,TMTM,2,0.0,,,0.0
14,TMTM,3,0.05545012766879447,,1.0,2.1538461538461604
15,TMTM,5,0.204140457655964,,0.9333333333333333,1.0769230769230802
16,TMTM,5,0.2198874382620947,,0.6666666666666667,7.538461538461547
17,TMTM,4,0.1603344342528925,,0.625,8.615384615384627
18,TMTM,4,0.21638561523728314,,0.5,8.615384615384613
19,TMTM,5,0.23735781788351418,,0.33333333333333337,5.384615384615387
20,TMTM,6,0.22983710440959199,,0.5833333333333333,10.769230769230774
21,TMTM,5,0.24072281818433464,,0.6,8.615384615384627
22,TMTM,6,0.29605014551930825,,0.7083333333333333,3.2307692307692264
23,TMTM,7,0.2917560552509299,0.7142857142857143,0.6571428571428571,22.615384615384613
24,TMTM,6,0.25800861741705117,,0.9166666666666666,12.92307692307692
25,TMTM,5,0.15551635470122985,,0.7333333333333334,22.615384615384613
26,TMTM,6,0.14992399921791014,,0.8333333333333334,3.2307692307692406
27,TMTM,6,0.15542030967822648,,0.875,1.0769230769230802
28,TMTM,5,0.14916636034912828,,0.6666666666666667,5.384615384615401
29,TMTM,5,0.14978651981990662,,0.6666666666666667,1.076923076923066
30,TMTM,6,0.21265501503634046,,0.7916666666666666,13.999999999999986
31,TMTM,6,0.15423219997061632,,0.8333333333333334,10.769230769230774
32,TMTM,6,0.17868460590206114,,0.75,4.307692307692307
33,TMTM,6,0.20094938173531832,,0.625,4.307692307692307
