t,current,previous,track,iou,boundary
1,44,44,0,1.0,True
2,44,44,0,1.0,True
3,44,44,0,1.0,True
4,44,44,0,1.0,True
5,30,44,0,1.0,True
6,30,30,0,1.0,True
7,43,30,0,1.0,True
8,43,43,0,0.010256410256410256,True
9,29,43,0,0.6666666666666666,False
9,45,45,1,0.6666666666666666,False
10,29,29,0,0.75,False
10,45,45,1,1.0,False
11,29,29,0,0.25,False
11,31,45,1,1.0,False
12,16,31,1,0.75,False
12,58,58,2,0.5,False
13,16,16,1,0.6,False
13,58,58,2,0.6666666666666666,False
14,15,16,1,1.0,False
14,57,58,2,0.3333333333333333,False
15,15,15,1,0.25,False
15,57,57,2,0.3333333333333333,True
15,59,59,3,1.0,False
16,15,15,1,1.0,False
16,17,17,4,1.0,False
16,42,57,2,1.0,True
16,46,46,5,1.0,False
16,59,59,3,1.0,False
17,15,15,1,1.0,False
17,28,42,2,0.75,True
17,46,17,4,0.25,True
17,59,59,3,1.0,False
18,28,28,2,0.5,True
18,46,46,4,1.0,True
18,59,59,3,1.0,False
19,14,28,2,0.4,True
19,32,46,4,0.3333333333333333,True
19,72,72,6,1.0,False
20,2,2,7,1.0,True
20,14,14,2,1.0,True
20,18,32,4,0.5,False
20,56,56,8,1.0,True
20,72,72,6,1.0,False
21,2,2,7,1.0,True
21,14,14,2,1.0,True
21,18,18,4,0.5,False
21,60,60,9,1.0,False
21,72,56,8,0.25,True
22,1,2,7,0.5,True
22,14,14,2,0.5,True
22,18,18,4,0.5,True
22,60,60,9,1.0,False
22,71,72,8,0.25,True
23,1,1,7,1.0,True
23,3,18,4,1.0,True
23,14,14,2,1.0,True
23,60,60,9,1.0,False
23,71,71,8,1.0,False
23,73,73,10,1.0,False
24,1,1,7,0.5,True
24,3,3,4,0.5,True
24,47,47,11,0.5,False
24,60,60,9,1.0,False
24,70,71,8,0.5,True
24,73,73,10,1.0,False
25,0,1,7,1.0,True
25,3,3,4,0.5,True
25,47,47,11,1.0,False
25,70,70,8,0.6666666666666666,True
25,74,60,9,0.3333333333333333,False
26,0,0,7,1.0,True
26,4,3,4,0.5,True
26,47,47,11,0.6666666666666666,False
26,70,70,8,0.3333333333333333,True
26,74,74,9,0.6666666666666666,False
27,0,0,7,1.0,True
27,4,4,4,1.0,True
27,33,47,11,1.0,False
27,70,70,8,1.0,True
27,74,74,9,0.5,False
27,86,86,12,1.0,False
28,0,0,7,1.0,True
28,4,4,4,0.3333333333333333,True
28,61,33,11,0.3333333333333333,False
28,74,74,9,1.0,False
28,86,70,8,0.2,True
29,0,0,7,1.0,True
29,19,4,4,1.0,True
29,61,61,11,1.0,False
29,74,74,9,1.0,False
29,86,86,8,1.0,True
30,0,0,7,1.0,True
30,19,19,4,0.75,True
30,61,61,11,1.0,False
30,74,74,9,1.0,False
30,85,86,8,0.2,True
31,0,0,7,1.0,True
31,19,19,4,0.5,True
31,75,61,11,0.5,False
31,85,85,8,1.0,False
31,87,87,13,1.0,False
32,0,0,7,1.0,True
32,5,19,4,0.5,True
32,48,48,14,0.5,False
32,75,75,11,1.0,False
32,84,85,8,0.5,True
32,87,87,13,0.5,False
33,0,0,7,1.0,True
33,5,5,4,1.0,True
33,48,48,14,0.6666666666666666,False
33,75,75,11,0.5,False
33,84,84,8,1.0,True
33,88,87,13,1.0,False
34,0,0,7,1.0,True
34,5,5,4,1.0,True
34,48,48,14,1.0,False
34,75,75,11,1.0,False
34,84,84,8,0.5,True
34,88,88,13,1.0,False
35,0,0,7,1.0,True
35,34,48,14,0.6,True
35,75,75,11,1.0,False
35,84,84,8,1.0,True
35,88,88,13,0.5,False
35,100,100,15,1.0,False
36,0,0,7,1.0,True
36,20,34,14,0.4,True
36,75,75,11,1.0,False
36,88,88,13,1.0,False
36,100,100,15,0.2,True
37,0,0,7,1.0,True
37,20,20,14,1.0,False
37,62,62,16,1.0,False
37,89,88,13,0.5,False
37,100,100,15,1.0,True
38,0,0,7,1.0,True
38,20,20,14,0.6666666666666666,True
38,62,62,16,0.5,False
38,89,89,13,0.5,False
38,99,100,15,0.2,True
39,0,0,7,1.0,True
39,6,20,14,0.6666666666666666,True
39,76,62,16,1.0,False
39,89,89,13,1.0,False
39,99,99,15,0.5,True
39,101,101,17,1.0,False
