t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,anchor_raster_error,width_raster_error,root_level_error_scalar
0,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
1,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
2,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
3,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
4,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
5,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
6,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
7,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
8,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
9,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
10,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
11,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
12,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
13,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
14,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
15,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
16,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
17,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
18,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
19,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
20,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
21,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
22,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
23,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
24,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
25,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
26,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
27,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
28,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
29,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
30,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
31,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
32,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
33,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
34,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
35,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
36,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
37,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
38,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
39,TMTM,196,False,False,True,True,0.0,0.0,0.0,0.0
0,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.006792222039174289
1,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.009704581761764253
2,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.012783093977782656
3,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.015830317796286852
4,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.018637436931416396
5,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.021089083057338698
6,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.022991313772686706
7,ST-MTM,196,False,True,True,True,0.0,0.3000953417949148,1.0,0.025670209173429104
8,ST-MTM,196,False,True,True,True,0.0,0.5216452663717632,0.5,0.0
9,ST-MTM,196,False,True,True,True,0.0,0.6719280638636462,1.1887443359534455,0.0
10,ST-MTM,196,False,True,True,True,0.0,0.6486307400807334,1.2601729073820007,0.0
11,ST-MTM,196,False,True,True,True,0.0,0.6398124801165466,0.6000000000000227,0.0
12,ST-MTM,196,False,True,True,True,0.0,0.4028679760553615,0.6666666666666856,0.0
13,ST-MTM,196,False,True,True,True,0.0,0.5980010315327604,1.1173157645248903,0.0
14,ST-MTM,196,False,True,True,True,0.0,0.7923523242172763,1.5220776692867883,0.0
15,ST-MTM,196,False,True,True,True,0.0,0.7651965761571091,0.4285714285714164,0.0
16,ST-MTM,196,False,True,True,True,0.0,0.7651982117963598,0.4285714285714164,0.0
17,ST-MTM,196,False,True,True,True,0.0,0.5474667131364583,0.4000000000000057,0.0
18,ST-MTM,196,False,True,True,True,0.0,0.8070075432877815,1.597835245044352,0.0
19,ST-MTM,196,False,True,True,True,0.0,0.5998096410624782,0.39999999999997726,0.0
20,ST-MTM,196,False,True,True,True,0.0,0.7985604332386913,1.466522113731217,0.0
21,ST-MTM,196,False,True,True,True,0.0,0.839879693642132,1.2887443359534398,0.0
22,ST-MTM,196,False,True,True,True,0.0,3.7668669596739335,1.5458871915055437,0.0
23,ST-MTM,196,False,True,True,True,0.0,0.4696980786544458,0.25,8.407790785948902e-45
24,ST-MTM,196,False,True,True,True,0.0,0.5807044374442683,0.22222222222222854,1.6255062186167878e-43
25,ST-MTM,196,False,True,True,True,0.0,0.6609642549954344,0.25,2.71992031925447e-42
26,ST-MTM,196,False,True,True,True,0.0,0.48510483473697263,0.30000000000001137,4.2918969365340497e-41
27,ST-MTM,196,False,True,True,True,0.0,0.7247128385730832,0.3333333333333144,6.381821492197368e-40
28,ST-MTM,196,False,True,True,True,0.0,0.65557748546982,0.4166666666666856,8.952863658706577e-39
29,ST-MTM,196,False,True,True,True,0.0,0.7667915157864513,0.4166666666666856,1.18625679946978e-37
30,ST-MTM,196,False,True,True,True,0.0,0.7429984095053328,0.4000000000000057,1.4861555529850062e-36
31,ST-MTM,196,False,True,True,True,0.0,0.6873194199822734,0.22222222222222854,1.7622886659787255e-35
32,ST-MTM,196,False,True,True,True,0.0,0.8000982437562243,1.5069261541352585,1.979996827279649e-34
33,ST-MTM,196,False,True,True,True,0.0,0.6515916471437038,0.2727272727272805,2.1099083637785903e-33
34,ST-MTM,196,False,True,True,True,0.0,0.7456886230799,1.416017063226165,2.134525193469159e-32
35,ST-MTM,196,False,True,True,True,0.0,0.7488861254054342,1.234198881407978,2.0520823694580073e-31
36,ST-MTM,196,False,True,True,True,0.0,0.8190497262321372,1.5220776692867883,1.876514185221277e-30
37,ST-MTM,196,False,True,True,True,0.0,0.5133727461319211,0.4166666666666856,1.6336959641477324e-29
38,ST-MTM,196,False,True,True,True,0.0,0.7095887509663612,1.3887443359534342,1.3553237045696052e-28
39,ST-MTM,196,False,True,True,True,0.0,0.5836233454213016,0.18181818181818699,1.0723798902714933e-27
0,RA-MTM,784,False,False,True,True,0.0,0.073348002805524,0.13341543513956822,0.0
1,RA-MTM,784,False,False,True,True,0.0,0.07334800280553821,0.13341543513956822,0.0
2,RA-MTM,784,False,False,True,True,0.0,0.0733480028055169,0.13341543513956822,0.0
3,RA-MTM,784,False,False,True,True,0.0,0.07334800280553821,0.13341543513956822,0.0
