scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
translation,Full,defined,13,2.9640984844074108e-05,2.605766062480086e-06,2.6220085643815752e-05,0.0,1.1078821814800524e-06,1.0976115365863967e-12,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.03446820902172476,2.470082070339509e-07,4.4162623795548e-07,2.4971847247236534e-07,2.497184724723654e-07,2.171471718733405e-08,0.0,0.0,0.0,,,,,,,,
translation,RelativeWidth,defined,13,2.9640984844074108e-05,2.605766062480086e-06,2.6220085643815752e-05,0.0,1.1078821814800524e-06,1.0976115365863967e-12,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.03345124993938953,2.470082070339509e-07,4.4162623795548e-07,2.4971847247236534e-07,2.497184724723654e-07,2.171471718733405e-08,0.0,0.0,0.0,,,,,,,,
translation,OldTime,defined,13,0.4423037120681963,0.0416708043714356,0.0417097184689358,0.0,1.2100431630673904e-06,1.1116845606778004e-12,,0,0.0,0.0015326698606230593,0.0,-0.4999860223544488,0.032786249998025596,0.003685864267234969,0.004166725118329519,0.003993457347273603,0.003993457347273603,0.0003472567030952967,0.0,0.0,0.0,,,,,,,,
translation,NoTime,defined,13,5.7302107946974535e-05,2.9605947323337506e-16,5.921189464667501e-16,0.0,1.2095326451539615e-06,1.4409224536072071e-12,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.032676583039574325,4.775175662247878e-07,6.93804098084172e-07,1.562536108731702e-17,1.562536108731702e-17,2.467162276944792e-18,0.0,0.0,0.0,,,,,,,,
translation,NoReferencePenalty,defined,13,0.0010237029220429388,0.00017077356533088149,0.0003521807289816634,0.0,5.121646598885313e-06,1.401170678784761e-11,,0,0.0,0.003849514982263713,0.0,-0.9978426506768301,0.03310270793735981,8.530857683691157e-06,1.6587177399305375e-05,9.237158230016132e-06,9.237158230016132e-06,1.4231130444240125e-06,0.0,0.0,0.0,,,,,,,,
translation,ReferenceOnly,defined,13,2.78933571397106e-13,3.227048258243788e-13,1.150684485967051e-13,0.0,2.7716157891864157e-14,5.246678959376685e-28,,0,0.0,9.947598300641403e-13,0.0,-0.9999999999990052,0.0304122919915244,2.3244464283092167e-15,6.785683126508959e-15,2.3783444349747796e-15,1.3158198810372226e-17,2.6892068818698235e-15,0.0,0.0,0.0,,,,,,,,
translation,LegacyObjective,defined,13,6.956064616394414e-07,6.459202836792441e-07,1.6714686966167057e-05,0.0,1.5973010398057793e-07,2.1731303115831878e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.03444137494079769,5.796720513662011e-09,2.6263541353562503e-08,6.369491681251164e-08,5.756711979537848e-17,5.382669030660367e-09,0.0,0.0,0.0,,,,,,,,
translation,TightBudget,defined,13,0.0,0.0,2.0724163126336257e-15,0.0,0.0,0.0,,0,0.0,7.105427357601002e-15,0.0,0.0,0.020445332978852093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
translation,LooseBudget,defined,13,1.3338927792516094e-07,1.7575979368208058e-07,1.1972823952019794e-06,0.0,5.083176033919116e-09,1.8616190516781435e-17,,0,0.0,9.874039498924958e-06,0.0,-119.99999880622563,0.12021312501747161,1.1115773160430079e-09,7.031646228246779e-09,8.503734730372462e-09,8.503734730372462e-09,1.4646649473506715e-09,0.0,0.0,0.0,,,,,,,,
growth,Full,defined,11,1.6560824953806084e-08,1.2144466765562356e-08,6.626934201392487e-08,3.027880976250427e-17,5.038362488676934e-10,1.1914183968534845e-32,1.553744155557979e-07,0,0.0,9.98378219208007e-07,0.0,-0.999999844623531,0.01987383293453604,1.380068746150507e-10,7.109955824091682e-10,9.614540807945105e-10,9.614540807945105e-10,1.0120388971301963e-10,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,RelativeWidth,defined,11,1.656081946324858e-08,1.2144466765562356e-08,6.626934201392487e-08,0.11642596934383849,5.038362535387547e-10,1.482596714634448e-32,1.5537440134494318e-07,0,0.0,9.98378219208007e-07,0.0,-0.999999844623531,0.01964433304965496,1.3800682886040484e-10,7.109955794485735e-10,9.61454131124621e-10,9.61454131124621e-10,1.0120388971301963e-10,0.1177947714037045,0.11779477140370456,0.20815576034871786,,,,,,,,
growth,OldTime,defined,11,0.18153408361066006,0.027793928077529274,0.02779173882040382,3.027880976250427e-17,0.0019490456848171816,6.110066395448039e-33,0.1741384212453383,0,0.0,2.092473411607898e-05,0.0,-0.7366950309585008,0.025701583013869822,0.0015127840300888339,0.002191458613010333,0.0016640633439481522,0.0016640633439481522,0.00023161606731274395,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,NoTime,defined,11,2.98192875321361e-07,7.694416233050561e-08,1.516029837489441e-06,3.027880976250427e-17,7.507531232597247e-09,1.3835051280331213e-32,6.316416971685612e-07,0,0.0,9.713207276718094e-06,0.0,-0.9999992129818338,0.02633704198524356,2.4849406276780085e-09,6.2517791595458515e-09,1.620173047574743e-09,1.620173047574743e-09,6.412013527542134e-10,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
