scene,mode,t,feature,q,x,width,true_measure
translation,Full,0,0,22.099999999999998,22.100045381322097,4.68,78
translation,Full,0,1,38.199999999999996,38.200083256491766,4.859999999999999,81
translation,Full,0,2,59.199999999999996,59.20004326850997,5.46,91
translation,Full,1,0,23.099999999999998,23.10002991637283,4.68,78
translation,Full,1,1,39.199999999999996,39.20005953651629,4.859999999999999,81
translation,Full,1,2,60.19999999999999,60.20001991738617,5.46,91
translation,Full,2,0,24.099999999999998,24.100023565358608,4.68,78
translation,Full,2,1,40.199999999999996,40.20005226832991,4.859999999999999,81
translation,Full,2,2,61.19999999999999,61.20001268957925,5.46,91
translation,Full,3,0,25.099999999999998,25.100021315343163,4.68,78
translation,Full,3,1,41.199999999999996,41.20004991642517,4.859999999999999,81
translation,Full,3,2,62.19999999999999,62.2000103419634,5.46,91
translation,Full,4,0,26.099999999999998,26.10002055052002,4.68,78
translation,Full,4,1,42.199999999999996,42.200049140287355,4.859999999999999,81
translation,Full,4,2,63.199999999999996,63.20000956623662,5.46,91
translation,Full,5,0,27.1,27.100020293919574,4.68,78
translation,Full,5,1,43.199999999999996,43.20004888243185,4.859999999999999,81
translation,Full,5,2,64.2,64.200009308405,5.46,91
translation,Full,6,0,28.1,28.100020208197392,4.68,78
translation,Full,6,1,44.199999999999996,44.20004879657093,4.859999999999999,81
translation,Full,6,2,65.2,65.20000922253948,5.46,91
translation,Full,7,0,29.1,29.10002017960093,4.68,78
translation,Full,7,1,45.199999999999996,45.200048767959295,4.859999999999999,81
translation,Full,7,2,66.2,66.20000919392491,5.46,91
translation,Full,8,0,30.1,30.100020170065807,4.68,78
translation,Full,8,1,46.199999999999996,46.20004875842256,4.859999999999999,81
translation,Full,8,2,67.2,67.20000918438704,5.46,91
translation,Full,9,0,31.1,31.100020166886942,4.68,78
translation,Full,9,1,47.199999999999996,47.20004875524354,4.859999999999999,81
translation,Full,9,2,68.2,68.20000918120763,5.46,91
translation,Full,10,0,32.1,32.10002016582721,4.68,78
translation,Full,10,1,48.199999999999996,48.20004875418381,4.859999999999999,81
translation,Full,10,2,69.2,69.20000918014776,5.46,91
translation,Full,11,0,33.099999999999994,33.100020165473936,4.68,78
translation,Full,11,1,49.199999999999996,49.20004875383054,4.859999999999999,81
translation,Full,11,2,70.2,70.20000917979445,5.46,91
translation,Full,12,0,34.1,34.10002016535617,4.68,78
translation,Full,12,1,50.199999999999996,50.20004875371277,4.859999999999999,81
translation,Full,12,2,71.2,71.20000917967666,5.46,91
translation,RelativeWidth,0,0,22.099999999999998,22.100045381322097,4.68,78
translation,RelativeWidth,0,1,38.199999999999996,38.200083256491766,4.859999999999999,81
translation,RelativeWidth,0,2,59.199999999999996,59.20004326850997,5.46,91
translation,RelativeWidth,1,0,23.099999999999998,23.10002991637283,4.68,78
translation,RelativeWidth,1,1,39.199999999999996,39.20005953651629,4.859999999999999,81
translation,RelativeWidth,1,2,60.19999999999999,60.20001991738617,5.46,91
translation,RelativeWidth,2,0,24.099999999999998,24.100023565358608,4.68,78
translation,RelativeWidth,2,1,40.199999999999996,40.20005226832991,4.859999999999999,81
translation,RelativeWidth,2,2,61.19999999999999,61.20001268957925,5.46,91
translation,RelativeWidth,3,0,25.099999999999998,25.100021315343163,4.68,78
translation,RelativeWidth,3,1,41.199999999999996,41.20004991642517,4.859999999999999,81
translation,RelativeWidth,3,2,62.19999999999999,62.2000103419634,5.46,91
translation,RelativeWidth,4,0,26.099999999999998,26.10002055052002,4.68,78
translation,RelativeWidth,4,1,42.199999999999996,42.200049140287355,4.859999999999999,81
translation,RelativeWidth,4,2,63.199999999999996,63.20000956623662,5.46,91
translation,RelativeWidth,5,0,27.1,27.100020293919574,4.68,78
translation,RelativeWidth,5,1,43.199999999999996,43.20004888243185,4.859999999999999,81
translation,RelativeWidth,5,2,64.2,64.200009308405,5.46,91
translation,RelativeWidth,6,0,28.1,28.100020208197392,4.68,78
translation,RelativeWidth,6,1,44.199999999999996,44.20004879657093,4.859999999999999,81
translation,RelativeWidth,6,2,65.2,65.20000922253948,5.46,91
translation,RelativeWidth,7,0,29.1,29.10002017960093,4.68,78
translation,RelativeWidth,7,1,45.199999999999996,45.200048767959295,4.859999999999999,81
translation,RelativeWidth,7,2,66.2,66.20000919392491,5.46,91
translation,RelativeWidth,8,0,30.1,30.100020170065807,4.68,78
translation,RelativeWidth,8,1,46.199999999999996,46.20004875842256,4.859999999999999,81
translation,RelativeWidth,8,2,67.2,67.20000918438704,5.46,91
translation,RelativeWidth,9,0,31.1,31.100020166886942,4.68,78
translation,RelativeWidth,9,1,47.199999999999996,47.20004875524354,4.859999999999999,81
