scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
static,TMTM,defined,13,0.155555555555555,0.0,0.0,0.0,0.011189434999827831,5.162124179278722e-05,0.0,0,0.0,0.10000000000000142,,,0.022756500053219497,0.0012962962962962917,0.0019444444444443932,0.0,0.0,0.0,0.0,0.0,0.0,0.0012962962962962917,0.0019444444444443932,0.0,0.0,0.0,0.0,0.0,0.0
static,ST-MTM,defined,13,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.03229129093233496,5.921189464667501e-17,5.921189464667501e-17,0.0,0.0,0.0,0.0,0.0,0.0,9.537623066099165e-05,0.00019989451476790283,0.0,0.0,0.0,0.0,0.0,0.0
static,RA-MTM,defined,13,1.9701453843605322e-06,3.180473583262887e-08,2.0445484817265146e-06,0.0,1.4987181830991385e-07,1.8497845463067025e-14,7.885690962439185e-07,0,0.0,0.00028915873534884895,0.0,-0.9999953155353367,0.08958183298818767,1.6417878203004435e-08,3.255579191119296e-08,3.15639597257576e-09,1.7038801760462633e-09,2.650394652719073e-10,0.0,0.0,0.0,8.616946208548112e-05,0.00018156652011078005,0.0,0.0,0.0,0.0,0.0,0.0
translation,TMTM,defined,13,6.01196581196581,1.0000000000000002,1.0000000000000002,0.0,0.011189434999827948,5.1621241792788224e-05,,0,0.0,0.10000000000000142,,,0.022169666946865618,0.050099715099715086,0.09869444444444442,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0,0.050099715099715086,0.09869444444444442,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
translation,ST-MTM,defined,13,5.9999999999999964,1.0000000000000004,1.0000000000000004,0.0,1.9339934962146237e-16,4.020855656655498e-32,,0,0.0,0.0,,,0.028049333952367306,0.04999999999999997,0.09999999999999994,0.054166666666666675,0.054166666666666675,0.008333333333333337,0.0,0.0,0.0,0.05004047064710148,0.09992989844683395,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
translation,RA-MTM,defined,13,1.9701453787126284e-06,3.1804735536569396e-08,2.0445484827133796e-06,0.0,1.4987181806192635e-07,1.8497845427625704e-14,,0,0.0,0.00028915873534884895,0.0,-0.9999953155353367,0.0774931670166552,1.641787815593857e-08,3.2555791810532736e-08,3.1563960235637803e-09,1.7038801842701376e-09,2.6503946280474495e-10,0.0,0.0,0.0,0.00011468732646065816,0.00022414916137438292,0.0001675894262606577,0.00011738044835261743,5.247064357958627e-05,0.0023158234977434917,0.0022805647864163575,0.012578782206860185
growth,TMTM,defined,11,4.263636363636358,0.8399999999999999,0.8399999999999999,3.027880976250427e-17,0.0018111415295627568,3.0175780248726746e-33,8.400000000000006,0,0.0,0.10000000000000142,,,0.011437125038355589,0.03553030303030299,0.06929166666666672,0.039041666666666607,0.039041666666666607,0.006999999999999998,2.6367796834847467e-17,9.679756995950583e-17,0.0,0.03553030303030299,0.06929166666666672,0.039041666666666607,0.039041666666666607,0.006999999999999998,2.6367796834847467e-17,9.679756995950583e-17,0.0
growth,ST-MTM,defined,11,2.0954545454545386,0.4200000000000001,0.42000000000000026,0.11642596934383813,0.0048069506848807415,4.913022604745461e-33,4.097916784640002,0,0.0,3.552713678800501e-15,,,0.019719749921932817,0.017462121212121155,0.03407118124373335,0.019208333333333272,0.019208333333333272,0.003500000000000001,0.11779477140370413,0.11779477140370412,0.20815576034871827,0.017492395435707946,0.03428346128327875,0.0192688843502933,0.0192688843502933,0.003499999999999999,0.1154609411236807,0.11545754051784421,0.2027826286652948
growth,RA-MTM,defined,11,5.81353147440082e-15,1.2434497875801753e-14,7.460698725481052e-15,3.027880976250427e-17,3.0634191734047814e-16,1.1426503784446483e-32,1.4210854715202004e-14,0,0.0,1.4210854715202004e-14,0.0,-0.9999999999999858,0.07057995907962322,4.8446095620006835e-17,1.1842378929335003e-16,6.809367884367626e-17,4.4408920985006264e-17,1.0362081563168128e-16,2.6367796834847467e-17,6.071532165918825e-17,0.0,5.8659383280777114e-05,0.00018653313792529617,0.00010725044780976726,0.00010725044780976726,0.00010775932258590377,0.0007577583596861906,0.0008361964843580066,0.0
collective_growth,TMTM,defined,11,0.1646464646464639,0.03666666666666861,4.500103993147301e-15,9.420074148334662e-17,0.010385469656104838,2.6204922651892684e-05,,0,0.0,0.10000000000000853,,,0.0218134579481557,0.0013720538720538658,0.002777777777777703,0.00036111111111113896,0.0001944444444444541,0.00030555555555557176,9.17090477633072e-17,7.771561172376095e-17,,0.0013720538720538658,0.002777777777777703,0.00036111111111113896,0.0001944444444444541,0.00030555555555557176,9.17090477633072e-17,7.771561172376095e-17,
collective_growth,ST-MTM,defined,11,0.0633964301664191,0.04733568253266753,0.04733568253266753,0.15165902521131056,0.004097114055243177,1.7770812573068892e-08,,0,0.0,7.105427357601002e-15,,,0.03871629200875759,0.0005283035847201592,0.0010701633862442606,0.0005811339431921613,0.00019444444444445018,0.00039446402110556274,0.15141931039994072,0.15141931039994072,,0.0005258221875638686,0.0011131674407546417,0.0005310311423377378,0.00019444444444444723,0.00041760776007006127,0.1520020976908657,0.15185313443890552,
collective_growth,RA-MTM,defined,11,2.2564703187706043e-06,1.4351943290099218e-07,9.88771419727641e-06,3.364312195833808e-17,1.5128350928619217e-07,1.8132855886561017e-14,,0,0.0,0.00029536478665903587,0.0,-0.9999953155353367,0.08514491596724838,1.880391932308837e-08,3.6688158277324114e-08,3.5268228446325463e-09,3.460019886405677e-09,1.1959952741749348e-09,3.122502256758253e-17,5.551115123125783e-17,,0.00012965512476992495,0.0002306627585083909,0.0001455924659393294,7.662975628295122e-05,0.00016952993540682372,0.003906473211535785,0.0020751706686508733,
translation_growth,TMTM,defined,11,5.0323232323232325,1.0033333333333336,1.0000000000000002,9.420074148334662e-17,0.010000256588822707,2.209196217108845e-05,,0,0.0,0.10000000000000853,,,0.020654042018577456,0.04193602693602694,0.08277777777777777,0.04600000000000002,0.04600000000000004,0.008361111111111114,9.17090477633072e-17,7.771561172376095e-17,,0.04193602693602694,0.08277777777777777,0.04600000000000002,0.04600000000000004,0.008361111111111114,9.17090477633072e-17,7.771561172376095e-17,
translation_growth,ST-MTM,defined,11,5.006060606060597,0.9966666666666658,0.9966666666666658,0.15129267275068037,0.0040956206198744394,1.0571563635980195e-08,,0,0.0,7.105427357601002e-15,,,0.03020041703712195,0.04171717171717164,0.0825521994034952,0.045888888888888854,0.045888888888888854,0.008305555555555549,0.1510628037834912,0.15106280378349118,,0.04173130651021377,0.08236564284336328,0.045905263282970475,0.045905263282970475,0.00828918116147402,0.15145199315670804,0.15145880736123132,
