rho,extra_budget,motion_weight,scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
0.0,0.0,0.0,translation,RA-MTM,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.07157458295114338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.0,0.0,0.5,translation,RA-MTM,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.06823820795398206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.0,0.0,2.0,translation,RA-MTM,defined,13,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.04079808294773102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
0.0,1.0,0.0,translation,RA-MTM,defined,13,2.4595710084003467e-15,6.908054375445419e-16,6.908054375445419e-16,0.0,2.0168316221732553e-16,3.880593250027981e-32,,0,0.0,0.0,0.0,-0.9999999999999929,0.044024917064234614,2.0496425070002888e-17,5.921189464667501e-17,2.3026847918151394e-17,2.302684791815139e-17,5.7567119795378486e-18,0.0,0.0,0.0,,,,,,,,
0.0,1.0,0.5,translation,RA-MTM,defined,13,3.643808901333847e-16,2.9605947323337506e-16,2.9605947323337506e-16,0.0,8.649081851156762e-17,3.740330843400464e-33,,0,0.0,0.0,0.0,-0.9999999999999964,0.0415152080822736,3.036507417778206e-18,2.960594732333751e-17,1.2335811384723962e-17,1.233581138472396e-17,2.467162276944792e-18,0.0,0.0,0.0,,,,,,,,
0.0,1.0,2.0,translation,RA-MTM,defined,13,4.736951571734001e-15,1.6776703483224587e-15,1.6776703483224587e-15,0.0,4.2701420189002217e-16,7.20013687354589e-32,,0,0.0,0.0,0.0,-0.9999999999999858,0.04023820802103728,3.947459643111667e-17,1.1842378929335003e-16,4.5231308410654523e-17,1.5625361087317016e-17,1.3980586236020488e-17,0.0,0.0,0.0,,,,,,,,
0.0,3.0,0.0,translation,RA-MTM,defined,13,3.3705232337338084e-15,3.0592812234115426e-15,3.0592812234115426e-15,0.0,1.8474446932460313e-16,2.8520022680928526e-32,,0,0.0,0.0,0.0,-2.999999999999993,0.04086333292070776,2.8087693614448404e-17,5.921189464667501e-17,4.769847068759932e-17,4.605369583630278e-17,2.549401019509619e-17,0.0,0.0,0.0,,,,,,,,
0.0,3.0,0.5,translation,RA-MTM,defined,13,2.1862853408003084e-15,2.861908241255959e-15,2.861908241255959e-15,0.0,2.005207135598589e-16,1.823411286157726e-32,,0,0.0,0.0,0.0,-2.999999999999993,0.04091508302371949,1.8219044506669236e-17,5.921189464667501e-17,6.003428207232328e-17,6.003428207232329e-17,2.384923534379966e-17,0.0,0.0,0.0,,,,,,,,
0.0,3.0,2.0,translation,RA-MTM,defined,13,5.01023723933404e-15,2.0724163126336257e-15,2.0724163126336257e-15,0.0,3.7012108442986867e-16,6.498824840408303e-32,,0,0.0,0.0,0.0,-2.999999999999986,0.04187883296981454,4.175197699445034e-17,1.1842378929335003e-16,3.6185046728523623e-17,1.9737298215558336e-17,1.7270135938613546e-17,0.0,0.0,0.0,,,,,,,,
0.5,0.0,0.0,translation,RA-MTM,defined,13,0.0,0.0,1.282924384011292e-15,0.0,0.0,0.0,,0,0.0,1.4210854715202004e-14,0.0,0.0,0.04508700000587851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
