scene,mode,t,feature,q,x,width,true_measure
translation,Full,0,0,22.099999999999998,22.100000502772332,4.68,78
translation,Full,0,1,38.199999999999996,38.20000468446466,4.859999999999999,81
translation,Full,0,2,59.199999999999996,59.19999822790618,5.46,91
translation,Full,1,0,23.099999999999998,23.100000424805376,4.68,78
translation,Full,1,1,39.199999999999996,39.20000395765185,4.859999999999999,81
translation,Full,1,2,60.19999999999999,60.19999848170706,5.46,91
translation,Full,2,0,24.099999999999998,24.100000411444633,4.68,78
translation,Full,2,1,40.199999999999996,40.20000390103314,4.859999999999999,81
translation,Full,2,2,61.19999999999999,61.1999984904644,5.46,91
translation,Full,3,0,25.099999999999998,25.100000409646896,4.68,78
translation,Full,3,1,41.199999999999996,41.20000389635145,4.859999999999999,81
translation,Full,3,2,62.19999999999999,62.199998490141226,5.46,91
translation,Full,4,0,26.099999999999998,26.100000409426272,4.68,78
translation,Full,4,1,42.199999999999996,42.20000389593855,4.859999999999999,81
translation,Full,4,2,63.199999999999996,63.1999984900189,5.46,91
translation,Full,5,0,27.1,27.100000409400373,4.68,78
translation,Full,5,1,43.199999999999996,43.20000389589982,4.859999999999999,81
translation,Full,5,2,64.2,64.19999848999956,5.46,91
translation,Full,6,0,28.1,28.100000409397396,4.68,78
translation,Full,6,1,44.199999999999996,44.200003895896,4.859999999999999,81
translation,Full,6,2,65.2,65.19999848999706,5.46,91
translation,Full,7,0,29.1,29.10000040939706,4.68,78
translation,Full,7,1,45.199999999999996,45.20000389589561,4.859999999999999,81
translation,Full,7,2,66.2,66.19999848999674,5.46,91
translation,Full,8,0,30.1,30.100000409397026,4.68,78
translation,Full,8,1,46.199999999999996,46.200003895895584,4.859999999999999,81
translation,Full,8,2,67.2,67.1999984899967,5.46,91
translation,Full,9,0,31.1,31.100000409397015,4.68,78
translation,Full,9,1,47.199999999999996,47.200003895895556,4.859999999999999,81
translation,Full,9,2,68.2,68.19999848999667,5.46,91
translation,Full,10,0,32.1,32.10000040939701,4.68,78
translation,Full,10,1,48.199999999999996,48.200003895895556,4.859999999999999,81
translation,Full,10,2,69.2,69.19999848999669,5.46,91
translation,Full,11,0,33.099999999999994,33.100000409397,4.68,78
translation,Full,11,1,49.199999999999996,49.20000389589556,4.859999999999999,81
translation,Full,11,2,70.2,70.19999848999667,5.46,91
translation,Full,12,0,34.1,34.100000409397005,4.68,78
translation,Full,12,1,50.199999999999996,50.200003895895556,4.859999999999999,81
translation,Full,12,2,71.2,71.1999984899967,5.46,91
translation,RelativeWidth,0,0,22.099999999999998,22.100000502772332,4.68,78
translation,RelativeWidth,0,1,38.199999999999996,38.20000468446466,4.859999999999999,81
translation,RelativeWidth,0,2,59.199999999999996,59.19999822790618,5.46,91
translation,RelativeWidth,1,0,23.099999999999998,23.100000424805376,4.68,78
translation,RelativeWidth,1,1,39.199999999999996,39.20000395765185,4.859999999999999,81
translation,RelativeWidth,1,2,60.19999999999999,60.19999848170706,5.46,91
translation,RelativeWidth,2,0,24.099999999999998,24.100000411444633,4.68,78
translation,RelativeWidth,2,1,40.199999999999996,40.20000390103314,4.859999999999999,81
translation,RelativeWidth,2,2,61.19999999999999,61.1999984904644,5.46,91
translation,RelativeWidth,3,0,25.099999999999998,25.100000409646896,4.68,78
translation,RelativeWidth,3,1,41.199999999999996,41.20000389635145,4.859999999999999,81
translation,RelativeWidth,3,2,62.19999999999999,62.199998490141226,5.46,91
translation,RelativeWidth,4,0,26.099999999999998,26.100000409426272,4.68,78
translation,RelativeWidth,4,1,42.199999999999996,42.20000389593855,4.859999999999999,81
translation,RelativeWidth,4,2,63.199999999999996,63.1999984900189,5.46,91
translation,RelativeWidth,5,0,27.1,27.100000409400373,4.68,78
translation,RelativeWidth,5,1,43.199999999999996,43.20000389589982,4.859999999999999,81
translation,RelativeWidth,5,2,64.2,64.19999848999956,5.46,91
translation,RelativeWidth,6,0,28.1,28.100000409397396,4.68,78
translation,RelativeWidth,6,1,44.199999999999996,44.200003895896,4.859999999999999,81
translation,RelativeWidth,6,2,65.2,65.19999848999706,5.46,91
translation,RelativeWidth,7,0,29.1,29.10000040939706,4.68,78
translation,RelativeWidth,7,1,45.199999999999996,45.20000389589561,4.859999999999999,81
translation,RelativeWidth,7,2,66.2,66.19999848999674,5.46,91
translation,RelativeWidth,8,0,30.1,30.100000409397026,4.68,78
translation,RelativeWidth,8,1,46.199999999999996,46.200003895895584,4.859999999999999,81
translation,RelativeWidth,8,2,67.2,67.1999984899967,5.46,91
translation,RelativeWidth,9,0,31.1,31.100000409397015,4.68,78
translation,RelativeWidth,9,1,47.199999999999996,47.200003895895556,4.859999999999999,81
translation,RelativeWidth,9,2,68.2,68.19999848999667,5.46,91
translation,RelativeWidth,10,0,32.1,32.10000040939701,4.68,78
translation,RelativeWidth,10,1,48.199999999999996,48.200003895895556,4.859999999999999,81
translation,RelativeWidth,10,2,69.2,69.19999848999669,5.46,91
translation,RelativeWidth,11,0,33.099999999999994,33.100000409397,4.68,78
translation,RelativeWidth,11,1,49.199999999999996,49.20000389589556,4.859999999999999,81
translation,RelativeWidth,11,2,70.2,70.19999848999667,5.46,91
translation,RelativeWidth,12,0,34.1,34.100000409397005,4.68,78
translation,RelativeWidth,12,1,50.199999999999996,50.200003895895556,4.859999999999999,81
translation,RelativeWidth,12,2,71.2,71.1999984899967,5.46,91
translation,OldTime,0,0,22.099999999999998,22.100000502772332,4.68,78
translation,OldTime,0,1,38.199999999999996,38.20000468446466,4.859999999999999,81
translation,OldTime,0,2,59.199999999999996,59.19999822790618,5.46,91
translation,OldTime,1,0,23.099999999999998,22.988889218800345,4.68,78
translation,OldTime,1,1,39.199999999999996,39.088892653094625,4.859999999999999,81
translation,OldTime,1,2,60.19999999999999,60.08888696691042,5.46,91
translation,OldTime,2,0,24.099999999999998,23.976543502305752,4.68,78
translation,OldTime,2,1,40.199999999999996,40.07654687694658,4.859999999999999,81
translation,OldTime,2,2,61.19999999999999,61.07654122939482,5.46,91
translation,OldTime,3,0,25.099999999999998,24.975171754022274,4.68,78
translation,OldTime,3,1,41.199999999999996,41.075175123612134,4.859999999999999,81
translation,OldTime,3,2,62.19999999999999,62.07516947730226,5.46,91
translation,OldTime,4,0,26.099999999999998,25.975019337325275,4.68,78
translation,OldTime,4,1,42.199999999999996,42.0750227064593,4.859999999999999,81
translation,OldTime,4,2,63.199999999999996,63.075017060084974,5.46,91
translation,OldTime,5,0,27.1,26.975002402112292,4.68,78
translation,OldTime,5,1,43.199999999999996,43.075005771202676,4.859999999999999,81
translation,OldTime,5,2,64.2,64.07500012480769,5.46,91
translation,OldTime,6,0,28.1,27.975000520419243,4.68,78
translation,OldTime,6,1,44.199999999999996,44.07500388950526,4.859999999999999,81
translation,OldTime,6,2,65.2,65.07499824310709,5.46,91
translation,OldTime,7,0,29.1,28.975000311341947,4.68,78
translation,OldTime,7,1,45.199999999999996,45.0750036804275,4.859999999999999,81
translation,OldTime,7,2,66.2,66.07499803402894,5.46,91
translation,OldTime,8,0,30.1,29.975000288111104,4.68,78
