scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds
translation,Full,defined,13,6.956064616394414e-07,6.459202836792441e-07,1.6714686966167057e-05,0.0,1.5973010398057793e-07,2.1731303115831878e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.03402891699999999
translation,RelativeWidth,defined,13,6.956064616394414e-07,6.459202836792441e-07,1.6714686966167057e-05,0.0,1.5973010398057793e-07,2.1731303115831878e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.03302433299999996
translation,OldTime,defined,13,0.9230774020779944,0.08333333333333343,0.08333831630564534,0.0,1.5899539014759513e-07,2.150474088337103e-14,,0,0.0,0.00027957763313679607,0.0,0.0,0.022529875000000033
translation,NoTime,defined,13,7.751043400871502e-06,8.881784197001252e-16,3.0592812234115426e-15,0.0,5.700081028117507e-07,2.767414908054734e-13,,0,0.0,0.00027957763313679607,0.0,-0.9999883734348955,0.03181245900000007
growth,Full,defined,11,9.978688614802939e-08,4.439250780308157e-08,5.990866171146081e-07,3.027880976250427e-17,3.7175714588498086e-09,8.46809610874448e-33,3.3480196748314484e-07,0,0.0,4.661521060711493e-06,0.0,-0.9999996652653707,0.022745208000000017
growth,RelativeWidth,defined,11,3.0377949700783287e-06,1.0946492242425165e-06,4.882480842383075e-06,0.11642596934383849,2.0478497232409022e-08,5.8102573091269736e-33,9.406314539717187e-06,0,0.0,1.6650361438053096e-05,0.0,-0.9999905937527984,0.021421000000000023
growth,OldTime,defined,11,0.8350971763856084,0.09999999480194433,0.10004981752492519,3.027880976250427e-17,0.0020747393800327365,1.1180192016996062e-32,0.9999998961062175,0,0.0,0.0005968248132930398,0.0,0.0,0.01639400000000002
growth,NoTime,defined,11,3.268145931656363e-08,1.774510955954156e-08,3.196014439765804e-08,3.027880976250427e-17,3.073265434209722e-09,8.319423294775394e-33,1.7745109204270193e-07,0,0.0,7.224032003705361e-07,0.0,-0.9999998224815698,0.016198500000000005
collective_growth,Full,defined,11,3.306497156473118e-05,8.914416246241786e-06,9.69001812676377e-05,3.364312195833808e-17,1.729676618908558e-07,2.6198675846161108e-14,,0,0.0,0.0004826130085362479,0.0,-0.9999196274659425,0.026749833999999972
collective_growth,RelativeWidth,defined,11,8.220803608489378e-07,7.751043372176507e-07,2.0057624355966177e-05,0.15165902521131108,1.5049642588559095e-07,2.5652408445698903e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.027784041999999953
collective_growth,OldTime,defined,11,0.06338659974622686,0.047335671678289636,0.04739455576681474,3.364312195833808e-17,0.004097203684754011,1.7772497641146702e-08,,0,0.0,0.0009564814714906333,0.0,-0.8425664023067512,0.034445791999999975
collective_growth,NoTime,defined,11,8.211355674498662e-06,6.470583106950774e-07,9.98166597649212e-06,3.364312195833808e-17,5.377995050363806e-07,2.3590942254696845e-13,,0,0.0,0.0003715066372791398,0.0,-0.9999865734137856,0.026442999999999994
translation_growth,Full,defined,11,3.306497156849921e-05,8.91441624576809e-06,9.690018126976933e-05,3.364312195833808e-17,1.730015710521203e-07,2.619867585942865e-14,,0,0.0,0.0004826130085433533,0.0,-0.9999196274659425,0.02680366700000003
translation_growth,RelativeWidth,defined,11,8.220803605259638e-07,7.751043372176507e-07,2.0057624355966177e-05,0.1512926727506808,1.505259297188185e-07,2.5652408454872945e-14,,0,0.0,0.00027957763313679607,0.0,-0.9999883734349027,0.028872999999999927
translation_growth,OldTime,defined,11,0.9040399656638505,0.10000000000000012,0.10005760830726836,3.364312195833808e-17,0.000841818847703864,3.1955637155257154e-08,,0,0.0,0.0008544644418151393,0.0,0.0,0.02121066699999996
translation_growth,NoTime,defined,11,8.108144693672806e-06,8.557882582730751e-07,1.093819822652146e-05,3.364312195833808e-17,5.336804990629156e-07,2.2970860927283955e-13,,0,0.0,0.00037150663727203437,0.0,-0.9999865734137856,0.027491208999999905
