scene,t,order,tau,selected_order
static,0,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,0,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,0,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,0,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,1,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,1,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,1,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,1,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,2,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,2,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,2,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,2,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,3,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,3,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,3,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,3,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,4,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,4,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,4,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,4,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,5,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,5,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,5,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,5,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,6,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,6,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,6,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,6,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,7,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,7,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,7,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,7,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,8,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,8,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,8,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,8,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,9,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,9,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,9,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,9,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,10,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,10,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,10,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,10,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,11,"[0, 1, 2]",0.0,"(0, 1, 2)"
