scale,method,extra_budget,t,topology_equal
3.0,TMTM,,0,True
3.0,TMTM,,1,True
3.0,TMTM,,2,True
3.0,TMTM,,3,True
3.0,TMTM,,4,True
3.0,TMTM,,5,True
3.0,TMTM,,6,True
3.0,TMTM,,7,True
3.0,TMTM,,8,True
3.0,TMTM,,9,True
3.0,TMTM,,10,True
3.0,TMTM,,11,True
3.0,TMTM,,12,True
3.0,TMTM,,13,True
3.0,TMTM,,14,True
3.0,TMTM,,15,True
3.0,TMTM,,16,True
3.0,TMTM,,17,True
3.0,TMTM,,18,True
3.0,TMTM,,19,True
3.0,TMTM,,20,True
3.0,ST-MTM,,0,True
3.0,ST-MTM,,1,True
3.0,ST-MTM,,2,True
3.0,ST-MTM,,3,True
3.0,ST-MTM,,4,True
3.0,ST-MTM,,5,True
3.0,ST-MTM,,6,True
3.0,ST-MTM,,7,True
3.0,ST-MTM,,8,True
3.0,ST-MTM,,9,True
3.0,ST-MTM,,10,True
3.0,ST-MTM,,11,True
3.0,ST-MTM,,12,True
3.0,ST-MTM,,13,True
3.0,ST-MTM,,14,True
3.0,ST-MTM,,15,True
3.0,ST-MTM,,16,True
3.0,ST-MTM,,17,True
3.0,ST-MTM,,18,True
3.0,ST-MTM,,19,True
3.0,ST-MTM,,20,True
3.0,RA-MTM,0.0,0,True
3.0,RA-MTM,0.0,1,True
3.0,RA-MTM,0.0,2,True
3.0,RA-MTM,0.0,3,True
3.0,RA-MTM,0.0,4,True
3.0,RA-MTM,0.0,5,True
3.0,RA-MTM,0.0,6,True
3.0,RA-MTM,0.0,7,True
3.0,RA-MTM,0.0,8,True
3.0,RA-MTM,0.0,9,True
3.0,RA-MTM,0.0,10,True
3.0,RA-MTM,0.0,11,True
3.0,RA-MTM,0.0,12,True
3.0,RA-MTM,0.0,13,True
3.0,RA-MTM,0.0,14,True
3.0,RA-MTM,0.0,15,True
3.0,RA-MTM,0.0,16,True
3.0,RA-MTM,0.0,17,True
3.0,RA-MTM,0.0,18,True
3.0,RA-MTM,0.0,19,True
3.0,RA-MTM,0.0,20,True
3.0,RA-MTM,1.0,0,True
3.0,RA-MTM,1.0,1,True
3.0,RA-MTM,1.0,2,True
3.0,RA-MTM,1.0,3,True
3.0,RA-MTM,1.0,4,True
3.0,RA-MTM,1.0,5,True
3.0,RA-MTM,1.0,6,True
3.0,RA-MTM,1.0,7,True
3.0,RA-MTM,1.0,8,True
3.0,RA-MTM,1.0,9,True
3.0,RA-MTM,1.0,10,True
3.0,RA-MTM,1.0,11,True
3.0,RA-MTM,1.0,12,True
3.0,RA-MTM,1.0,13,True
3.0,RA-MTM,1.0,14,True
3.0,RA-MTM,1.0,15,True
3.0,RA-MTM,1.0,16,True
3.0,RA-MTM,1.0,17,True
3.0,RA-MTM,1.0,18,True
3.0,RA-MTM,1.0,19,True
3.0,RA-MTM,1.0,20,True
