run,t,method,raster_length,nominal_topology_failed,nominal_width_collapsed,topology_equal,hierarchy_legal,max_overlap,root_level_error_hPa,anchor_raster_error,width_raster_error
main,0,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,1,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,2,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,3,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,4,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,5,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,6,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,7,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,8,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,9,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,10,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,11,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,12,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,13,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,14,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,15,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,16,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,17,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,18,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,19,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,20,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,21,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,22,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,23,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,24,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,25,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,26,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,27,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,28,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,29,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,30,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,31,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,32,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,33,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,34,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,35,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,36,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,37,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,38,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,39,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,40,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,41,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,42,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,43,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,44,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,45,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,46,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,47,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,48,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,49,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,50,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,51,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,52,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,53,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,54,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,55,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,56,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,57,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,58,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,59,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,60,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,61,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,62,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,63,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,64,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,65,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,66,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,67,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,68,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,69,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,70,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,71,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,72,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,73,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,74,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,75,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,76,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,77,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,78,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,79,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,80,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,81,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,82,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,83,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,84,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,85,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,86,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,87,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,88,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,89,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,90,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,91,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,92,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,93,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,94,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,95,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,96,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,97,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
main,98,TMTM,2401,False,False,True,True,0.0,0.0,0.0,0.0
