scene,method,distance_nrmse,reference_nmae,trajectory_nmae,growth_log_mae,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
static,TMTM,0.011189434999827831,0.0012962962962962917,0.0,0.0,0.0012962962962962917,0.0019444444444443932,0.0,0.0,0.0,0.0,0.0,0.0
static,ST-MTM,0.0,5.921189464667501e-17,0.0,0.0,9.537623066099165e-05,0.00019989451476790283,0.0,0.0,0.0,0.0,0.0,0.0
static,RA-MTM,1.107882181456192e-06,2.470082070324327e-07,2.497184724740101e-07,0.0,8.616946208548112e-05,0.00018156652011078005,0.0,0.0,0.0,0.0,0.0,0.0
translation,TMTM,0.011189434999827948,0.050099715099715086,0.054166666666666675,0.0,0.050099715099715086,0.09869444444444442,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
translation,ST-MTM,1.9339934962146237e-16,0.04999999999999997,0.054166666666666675,0.0,0.05004047064710148,0.09992989844683395,0.054166666666666675,0.054166666666666675,0.008333333333333335,0.0,0.0,0.0
translation,RA-MTM,1.1078821814800524e-06,2.470082070339509e-07,2.4971847247236534e-07,0.0,0.00011468732646065816,0.00022414916137438292,0.0001675894262606577,0.00011738044835261743,5.247064357958627e-05,0.001979119038511697,0.0019544065096549963,0.012578782206860185
growth,TMTM,0.0018111415295627568,0.03553030303030299,0.039041666666666607,2.6367796834847467e-17,0.03553030303030299,0.06929166666666672,0.039041666666666607,0.039041666666666607,0.006999999999999998,2.6367796834847467e-17,9.679756995950583e-17,0.0
growth,ST-MTM,0.0048069506848807415,0.017462121212121155,0.019208333333333272,0.11779477140370413,0.017492395435707946,0.03428346128327875,0.0192688843502933,0.0192688843502933,0.003499999999999999,0.1154609411236807,0.11545754051784421,0.2027826286652948
growth,RA-MTM,5.038362488676934e-10,1.380068746150507e-10,9.614540807945105e-10,2.6367796834847467e-17,5.8659383280777114e-05,0.00018653313792529617,0.00010725044780976726,0.00010725044780976726,0.00010775932258590377,0.0007577583596861906,0.0008361964843580066,0.0
collective_growth,TMTM,0.010385469656104838,0.0013720538720538658,0.00036111111111113896,9.17090477633072e-17,0.0013720538720538658,0.002777777777777703,0.00036111111111113896,0.0001944444444444541,0.00030555555555557176,9.17090477633072e-17,7.771561172376095e-17,
