repetition,method,layout_render_validation_seconds
0,TMTM,1.3868887500138953
0,ST-MTM,1.5608115420909598
0,X-only RA-MTM,3.658578042057343
0,Dual-Y,3.156010208069347
0,Centroid-X,3.130954874912277
0,Centroid-Y,3.06414900009986
1,ST-MTM,1.4751592919928953
1,X-only RA-MTM,3.2950274168979377
1,Dual-Y,3.0970591669902205
1,Centroid-X,3.1977739590220153
1,Centroid-Y,3.056216667057015
1,TMTM,1.3441535000456497
2,X-only RA-MTM,3.33468783297576
2,Dual-Y,3.0915695410221815
2,Centroid-X,3.1548750420333818
2,Centroid-Y,3.079741541063413
2,TMTM,1.3434627919923514
2,ST-MTM,1.4583607090171427
