method,target,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
TMTM,centroid,0.22759886248636754,0.19969025534450757,0.2688111888111891,0.05031080031080031,0.5082051282051283,0.19230769230769232,0.021434186105962025,0.019077851734971115,0.0729135787261589,1.829145384334013,61,16,146,0.21
ST-MTM,centroid,0.3329999757627383,0.28282827862385657,0.38891820702996344,0.05031080031080031,0.91115853137752,0.19230769230769232,0.03040728896165906,0.020748437103422626,0.12615374044555683,1.957075664335315,61,1,146,0.21
X-only RA-MTM,centroid,0.08599180428521834,0.06012563714862992,0.04319078857184793,0.05031080031080031,0.16515567765567765,0.19230769230769232,0.02986732305855645,0.025496870012131276,0.06471235536891218,1.298168386916288,61,2,146,0.21
Dual-Reference RA-MTM,centroid,0.079489754332043,0.04337757347601467,0.04319078857184793,0.03441882718777667,0.16515567765567765,0.17486525379382412,0.03523071284927404,0.029630236760193305,0.051304263244396964,0.961205343140109,61,0,146,0.21
X-only centroid RA,centroid,0.06573888237034967,0.04559137801590086,0.020723177864510094,0.05031080031080031,0.07762073092200664,0.19230769230769232,0.022217397036010472,0.017177683217011835,0.05738657679824076,1.1340930346488312,61,5,146,0.21
Dual centroid RA,centroid,0.0290842098764076,0.01956686530593629,0.020723177864510094,0.012014464405264342,0.07762073092200664,0.03978441796992191,0.017545737605299535,0.014867510269604627,0.031898618725957145,0.3683131756126478,61,0,146,0.21
TMTM,extremum,0.23646177555534587,0.21290851072610897,0.2867754467754471,0.05034965034965036,0.5466666666666667,0.15384615384615388,0.02106153161674528,0.019911478122928847,0.07388113109708634,2.107274202643218,36,14,146,0.21
ST-MTM,extremum,0.33692377596816636,0.29565099564781244,0.4068824649942214,0.05034965034965036,0.9284313557441565,0.15384615384615388,0.030194670548298618,0.023967051094437784,0.11694570676520473,1.881224876443695,36,2,146,0.21
X-only RA-MTM,extremum,0.0639720891673895,0.04419328070901761,0.01832407763395313,0.05034965034965036,0.07628545287800942,0.15384615384615388,0.02381640102321442,0.021692216748449008,0.05428848636503736,0.9946268044968328,36,3,146,0.21
Dual-Reference RA-MTM,extremum,0.02879980334391449,0.018573055453939377,0.01832407763395313,0.012980838628572994,0.07628545287800942,0.03701411038498878,0.020495727061394395,0.019550311723956767,0.030387430182884992,0.1614282094693948,36,0,146,0.21
X-only centroid RA,extremum,0.08610510122213788,0.059837484166861805,0.04350388749663952,0.05034965034965036,0.1615672422815277,0.15384615384615388,0.02892425490379211,0.026027202942309202,0.06489443725538392,1.5003505492953184,36,6,146,0.21
Dual centroid RA,extremum,0.08088800663366028,0.04397714239270564,0.04350388749663952,0.03468980608827232,0.1615672422815277,0.14649888801674513,0.03256737147526666,0.029328054098601144,0.047708405801613354,1.0317088284671212,36,3,146,0.21
