repetition,method,layout_render_validation_seconds
0,TMTM,0.06813779193907976
0,ST-MTM,0.24660604097880423
0,X-only RA-MTM,0.9158906668890268
0,Dual-Y,0.6849196669645607
0,Centroid-X,0.8208143750671297
0,Centroid-Y,0.6725283750565723
1,ST-MTM,0.235928958049044
1,X-only RA-MTM,0.8170707920799032
1,Dual-Y,0.6802819999866188
1,Centroid-X,0.8215386669617146
1,Centroid-Y,0.6668134579667822
1,TMTM,0.06380745803471655
2,X-only RA-MTM,0.8056685000192374
2,Dual-Y,0.6825572920497507
2,Centroid-X,0.8424326250096783
2,Centroid-Y,0.695495416992344
2,TMTM,0.0626751659438014
2,ST-MTM,0.23695704201236367
