dataset,method,iou_min,interior_only,matched_pairs,motion_2d_nmae
ring,TMTM,0.0,False,146,0.02106153161674528
ring,TMTM,0.25,False,141,0.02016851466395899
ring,TMTM,0.5,False,127,0.01696125974298861
ring,TMTM,0.0,True,71,0.015281456196929931
ring,ST-MTM,0.0,False,146,0.030194670548298618
ring,ST-MTM,0.25,False,141,0.028973416717108257
ring,ST-MTM,0.5,False,127,0.023169695458048048
ring,ST-MTM,0.0,True,71,0.022046605572150074
ring,X-only RA-MTM,0.0,False,146,0.02381640102321442
ring,X-only RA-MTM,0.25,False,141,0.023812098452385598
ring,X-only RA-MTM,0.5,False,127,0.0211284026941531
ring,X-only RA-MTM,0.0,True,71,0.02363850993931486
ring,Dual-Reference RA-MTM,0.0,False,146,0.020495727061394395
ring,Dual-Reference RA-MTM,0.25,False,141,0.02065467827012004
ring,Dual-Reference RA-MTM,0.5,False,127,0.01947832607883569
ring,Dual-Reference RA-MTM,0.0,True,71,0.021449256002233196
ring,X-only centroid RA,0.0,False,146,0.02892425490379211
ring,X-only centroid RA,0.25,False,141,0.026376989760089037
ring,X-only centroid RA,0.5,False,127,0.022753487461338186
ring,X-only centroid RA,0.0,True,71,0.025641546386696943
ring,Dual centroid RA,0.0,False,146,0.03256737147526666
ring,Dual centroid RA,0.25,False,141,0.02973909440092181
ring,Dual centroid RA,0.5,False,127,0.026448422469496635
ring,Dual centroid RA,0.0,True,71,0.029274872879116808
